municipality,group,variable,month,12.4 Nacidos vivos con peso menor a 2500 g.,TOTAL
ANZALDO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
AYO AYO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
AZURDUY,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,2,2
CHUMA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,2,2
COCAPATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
COLQUIRI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,2,2
CULPINA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,4,4
EL ALTO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
FILADELFIA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
GUANAY,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
GUTIERREZ,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
ICLA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
MOJOCOYA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
MOROCHATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
POCOATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
PUCARANI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
RAVELO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
SACACA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,0,0
TAPACARI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
TARABUCO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,3,3
TIAWANACU,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
TORO TORO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
TOTORA(CBBA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
TOTORA(ORR),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
TUPIZA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
VILLA MONTES,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,3,3
VINTO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-01-01,1,1
ACHACACHI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
AYO AYO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
BETANZOS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
CAMARGO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
CATACORA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
CHARAGUA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,2,2
CHUA COCANI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
COCAPATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
COLQUENCHA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,2,2
CORQUE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
CULPINA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
EL CHORO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
EUCALIPTUS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
GUANAY,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
ICHOCA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
MIZQUE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
PORCO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
