municipality,group,variable,month,12.6 Partos atendidos por partera capacitada,TOTAL
ACHOCALLA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
ANTEQUERA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
APOLO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,2,2
ARAMPAMPA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
ARQUE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,2,2
AUCAPATA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
BATALLAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,4,4
BETANZOS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
CABEZAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,20,20
CAMIRI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
CARACOLLO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,2,2
CARANAVI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
CARIPUYO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,2,2
CHALLAPATA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,3,3
CHAYANTA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,3,3
CHIMORE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
CKOCHAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,4,4
COLOMI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,20,20
CONCEPCION,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
CORQUE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
COTAGAITA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,2,2
COTOCA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
CUEVO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
CURVA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,2,2
ENTRE RIOS CBBA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,2,2
GUTIERREZ,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
HUANUNI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
INGAVI (HUMAITA),atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
INQUISIVI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
LAGUNILLAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,3,3
LLALLAGUA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,4,4
LURIBAY,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
MACHARETI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
MAPIRI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
OCURI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,2,2
PALCA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,2,2
PAMPA GRANDE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
PAZÑA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
POCOATA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
PORCO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
POROMA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,7,7
PUERTO SUAREZ,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
RAVELO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,3,3
RIBERALTA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,5,5
SACACA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,4,4
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,2,2
SAN BORJA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
SAN IGNACIO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,5,5
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,4,4
SAN LORENZO(PND),atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,2,2
SAN PABLO DE LIPEZ,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
SENA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
SICAYA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
SORATA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
TACOPAYA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
TAPACARI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,3,3
TARABUCO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,2,2
TARATA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
TARIJA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
TINGUIPAYA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,6,6
TRINIDAD,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
TUPIZA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,4,4
UYUNI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,3,3
VILLA MONTES,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,2,2
VILLAZON,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
VITICHI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,1,1
YACUIBA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-01-01,2,2
AIQUILE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,2,2
APOLO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,4,4
ARAMPAMPA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,5,5
ARQUE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
AYATA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,2,2
AZURDUY,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,3,3
CABEZAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,17,17
CAMIRI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
CARAPARI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
CARIPUYO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
CHALLAPATA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,3,3
CHAYANTA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,5,5
CHIMORE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
CKOCHAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
COBIJA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
COCAPATA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
COLOMI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,3,3
COLQUECHACA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,13,13
CONCEPCION,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
COTAGAITA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
