municipality,group,variable,month,12.5 Nacidos muertos con peso menor a 2500 g.,TOTAL
COLQUECHACA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-01-01,0,0
TAPACARI,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-01-01,1,1
CHIMORE,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-02-01,1,1
CULPINA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-02-01,1,1
ICLA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-02-01,1,1
PUERTO CARABUCO,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-02-01,1,1
CKOCHAS,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-03-01,1,1
ESCOMA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-03-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-03-01,1,1
TAPACARI,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-03-01,1,1
TINGUIPAYA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-04-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-04-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-04-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-04-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-04-01,1,1
ESCOMA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-05-01,1,1
ANCORAIMES,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-06-01,2,2
SAN BUENA VENTURA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-06-01,1,1
SAN IGNACIO,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-06-01,1,1
VILLA TUNARI,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-06-01,1,1
FILADELFIA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-07-01,1,1
LAJA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-07-01,1,1
CKOCHAS,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-08-01,1,1
MOCOMOCO,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-08-01,1,1
VILLA TUNARI,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-08-01,0,0
ZUDAÑEZ,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-08-01,1,1
AYATA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-09-01,1,1
VILLA TUNARI,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-09-01,0,0
BETANZOS,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-10-01,1,1
CKOCHAS,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-10-01,1,1
LA ASUNTA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-10-01,1,1
PALCA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-10-01,1,1
SACACA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-10-01,1,1
SAN JUAN DE YAPACANI,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-10-01,1,1
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-10-01,2,2
SUCRE,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-10-01,1,1
YACO,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-10-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-10-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-11-01,1,1
GUTIERREZ,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-11-01,1,1
ICHOCA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-11-01,1,1
LA ASUNTA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-11-01,1,1
MIZQUE,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-11-01,1,1
MOCOMOCO,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-11-01,1,1
YACO,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-11-01,1,1
MACHARETI,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-12-01,1,1
MOROCHATA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-12-01,1,1
OCURI,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-12-01,1,1
ORURO,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-12-01,1,1
PASORAPA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-12-01,1,1
POCOATA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-12-01,1,1
SAN BORJA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-12-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-12-01,1,1
TARIJA,atencion de partos en domicilio,      nacidos muertos con peso menor a 2500 g.,2014-12-01,1,1
