municipality,group,variable,month,12.2 Nacidos vivos atendidos por personal de salud,TOTAL
ACACIO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
ACHACACHI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,11,11
ACHOCALLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
AIQUILE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
ALALAY,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
ALTO BENI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
ANCORAIMES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,8,8
ANZALDO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
APOLO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,6,6
ARAMPAMPA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
ARBIETO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,5,5
ARQUE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,22,22
ASCENCION DE GUARAYOS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,5,5
AUCAPATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,8,8
AYATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
AYO AYO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,13,13
AZURDUY,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,10,10
BATALLAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,5,5
BAURES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
BELEN DE ANDAMARCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
BETANZOS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,17,17
BOLIVAR,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,9,9
CAIROMA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,8,8
"CAIZA ""D""",atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
CAJUATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
CALACOTO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
CALAMARCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,13,13
CAMARGO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
CAMIRI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
CAPINOTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
CAQUIAVIRI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,7,7
CARACOLLO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
CARANAVI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,8,8
CARAPARI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
CARIPUYO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,13,13
CATACORA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
CHACARILLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,18,18
CHAQUI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
CHARAGUA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
CHARAÑA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
CHAYANTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,7,7
CHIMORE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
CHIPAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,6,6
CHOQUE COTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
CHUA COCANI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
CHUMA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
