municipality,group,variable,month,12.3 Nacidos muertos atendidos por personal de salud,TOTAL
AYO AYO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-01-01,1,1
BETANZOS,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-01-01,1,1
CHOQUE COTA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-01-01,1,1
COCAPATA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-01-01,1,1
CORO CORO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-01-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-01-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-01-01,1,1
RIBERALTA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-01-01,0,0
TAPACARI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-01-01,2,2
ARAMPAMPA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-02-01,1,1
CHIMORE,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-02-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-02-01,1,1
CULPINA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-02-01,1,1
ICLA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-02-01,1,1
POROMA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-02-01,1,1
PUERTO CARABUCO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-02-01,1,1
SAN PABLO DE LIPEZ,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-02-01,2,2
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-02-01,1,1
YACUIBA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-02-01,1,1
YOCALLA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-02-01,1,1
CKOCHAS,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-03-01,2,2
COCAPATA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-03-01,1,1
ESCOMA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-03-01,1,1
MAGDALENA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-03-01,1,1
POROMA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-03-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-03-01,1,1
SAN IGNACIO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-03-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-03-01,1,1
TACOBAMBA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-03-01,1,1
TAPACARI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-03-01,1,1
TINGUIPAYA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-03-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-04-01,1,1
CARAPARI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-04-01,1,1
COLQUECHACA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-04-01,3,3
CONCEPCION,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-04-01,1,1
EL ALTO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-04-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-04-01,1,1
INCAHUASI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-04-01,1,1
POCOATA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-04-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-04-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-04-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-04-01,1,1
TACOBAMBA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-04-01,1,1
TARVITA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-04-01,1,1
AYATA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-05-01,1,1
COBIJA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-05-01,12,12
ESCOMA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-05-01,1,1
INGAVI (HUMAITA),atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-05-01,1,1
PADILLA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-05-01,1,1
POCOATA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-05-01,1,1
PUCARANI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-05-01,1,1
SACABA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-05-01,1,1
SAN AGUSTIN,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-05-01,1,1
SAN IGNACIO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-05-01,1,1
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-05-01,1,1
VILA VILA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-05-01,1,1
