municipality,group,variable,month,Número de viviendas positivas,TOTAL
ALTO BENI,control vectorial de dengue,numero de viviendas positivas,2011-01-01,3,3
CARANAVI,control vectorial de dengue,numero de viviendas positivas,2011-01-01,4,4
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2011-01-01,378,378
CUEVO,control vectorial de dengue,numero de viviendas positivas,2011-01-01,73,73
LA GUARDIA,control vectorial de dengue,numero de viviendas positivas,2011-01-01,1,1
MACHARETI,control vectorial de dengue,numero de viviendas positivas,2011-01-01,116,116
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2011-01-01,100,100
SHINAOTA,control vectorial de dengue,numero de viviendas positivas,2011-01-01,26,26
ALTO BENI,control vectorial de dengue,numero de viviendas positivas,2011-02-01,7,7
CABEZAS,control vectorial de dengue,numero de viviendas positivas,2011-02-01,1,1
CARANAVI,control vectorial de dengue,numero de viviendas positivas,2011-02-01,15,15
CHARAGUA,control vectorial de dengue,numero de viviendas positivas,2011-02-01,5,5
COMARAPA,control vectorial de dengue,numero de viviendas positivas,2011-02-01,3,3
CUEVO,control vectorial de dengue,numero de viviendas positivas,2011-02-01,47,47
GUANAY,control vectorial de dengue,numero de viviendas positivas,2011-02-01,56,56
LAGUNILLAS,control vectorial de dengue,numero de viviendas positivas,2011-02-01,115,115
MACHARETI,control vectorial de dengue,numero de viviendas positivas,2011-02-01,83,83
MAIRANA,control vectorial de dengue,numero de viviendas positivas,2011-02-01,3,3
MOJOCOYA,control vectorial de dengue,numero de viviendas positivas,2011-02-01,1,1
PAILON,control vectorial de dengue,numero de viviendas positivas,2011-02-01,40,40
PALOS BLANCOS,control vectorial de dengue,numero de viviendas positivas,2011-02-01,25,25
SAIPINA,control vectorial de dengue,numero de viviendas positivas,2011-02-01,283,283
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2011-02-01,147,147
TRINIDAD,control vectorial de dengue,numero de viviendas positivas,2011-02-01,5,5
VILLA TUNARI,control vectorial de dengue,numero de viviendas positivas,2011-02-01,10,10
ANZALDO,control vectorial de dengue,numero de viviendas positivas,2011-03-01,2,2
BOYUIBE,control vectorial de dengue,numero de viviendas positivas,2011-03-01,1,1
CAMIRI,control vectorial de dengue,numero de viviendas positivas,2011-03-01,61,61
CARANAVI,control vectorial de dengue,numero de viviendas positivas,2011-03-01,1,1
CHARAGUA,control vectorial de dengue,numero de viviendas positivas,2011-03-01,6,6
COMARAPA,control vectorial de dengue,numero de viviendas positivas,2011-03-01,1,1
COTOCA,control vectorial de dengue,numero de viviendas positivas,2011-03-01,5,5
GUANAY,control vectorial de dengue,numero de viviendas positivas,2011-03-01,28,28
LAGUNILLAS,control vectorial de dengue,numero de viviendas positivas,2011-03-01,183,183
MACHARETI,control vectorial de dengue,numero de viviendas positivas,2011-03-01,108,108
MONTEAGUDO,control vectorial de dengue,numero de viviendas positivas,2011-03-01,3,3
