municipality,group,variable,month,Número de viviendas evaluadas entomológicamente,TOTAL
ALTO BENI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-01-01,12,12
CARANAVI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-01-01,60,60
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-01-01,1632,1632
CUEVO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-01-01,142,142
LA GUARDIA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-01-01,38,38
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-01-01,16,16
LORETO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-01-01,40,40
MACHARETI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-01-01,335,335
OMEREQUE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-01-01,549,549
PADILLA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-01-01,172,172
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-01-01,0,0
SHINAOTA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-01-01,360,360
TRINIDAD,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-01-01,49,49
VALLEGRANDE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-01-01,15,15
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-01-01,92,92
ALTO BENI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-02-01,128,128
CARANAVI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-02-01,50,50
COMARAPA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-02-01,4,4
CUEVO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-02-01,87,87
GUANAY,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-02-01,162,162
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-02-01,261,261
MACHARETI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-02-01,551,551
MAIRANA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-02-01,8,8
MOJOCOYA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-02-01,4,4
OMEREQUE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-02-01,465,465
PAILON,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-02-01,200,200
PALOS BLANCOS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-02-01,629,629
SAIPINA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-02-01,328,328
SAN JULIAN,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-02-01,59,59
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-02-01,132,132
