,group,variable,month,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
COROICO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-01-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-01-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-01-01,3,2,5
YACUIBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-02-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-02-01,0,0,0
PUERTO QUIJARRO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-02-01,4,4,8
SHINAOTA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-02-01,1,0,1
COROICO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-03-01,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-03-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-03-01,0,0,0
PAILON,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-03-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-03-01,3,1,4
SUCRE,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-03-01,1,0,1
TARIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-03-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-04-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-04-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-04-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-04-01,1,0,1
SANTA ROSA DEL SARA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-04-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-04-01,1,0,1
CHIMORE,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-05-01,0,1,1
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-05-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-05-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-05-01,0,1,1
LA ASUNTA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-05-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-05-01,0,0,0
POTOSI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-05-01,3,0,3
TRINIDAD,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-05-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-06-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-06-01,1,1,2
EL ALTO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-06-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-06-01,1,0,1
