,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,1,0,1
AIQUILE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,1,1,2
ARQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,2,1,3
BOYUIBE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,0,1,1
CAMARGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,0,1,1
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,1,0,1
CARAPARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,0,1,1
CHARAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,0,1,1
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,2,1,3
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,3,4,7
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,2,0,2
COLOMI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,1,0,1
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,1,0,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,1,0,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,2,3,5
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,2,0,2
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,15,7,22
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,2,0,2
ENTRE RIOS TRJ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,2,0,2
FERNANDEZ ALONSO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,1,0,1
GUTIERREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,0,1,1
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,1,0,1
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,1,0,1
ICLA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,1,1,2
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,2,2,4
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,7,8,15
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,3,0,3
MINEROS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,1,1,2
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,17,2,19
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,4,0,4
PADCAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,1,0,1
PADILLA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,2,0,2
PORTACHUELO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,0,2,2
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,1,2,3
QUIABAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2023-01-01,1,0,1
