,group,variable,month,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ARBIETO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,1,0,1
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,1,0,1
CARAPARI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,0,1,1
CHARAGUA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,6,2,8
COLCAPIRHUA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,0,1,1
COMARAPA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,0,2,2
COTOCA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,3,2,5
EL ALTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,0,2,2
EL TORNO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,1,0,1
INCAHUASI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,0,1,1
LA ASUNTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,2,1,3
LA GUARDIA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,3,1,4
LA PAZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,2,3,5
LLALLAGUA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,1,0,1
MONTERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,0,1,1
OKINAWA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,1,0,1
ORURO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,2,1,3
POJO (CBBA),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,0,1,1
POTOSI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,1,0,1
PRESTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,2,0,2
RIBERALTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,1,0,1
SACABA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,1,2,3
SAN BORJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,4,5,9
SAN BUENA VENTURA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,15,12,27
SANTA ROSA DEL SARA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,1,0,1
SIPE SIPE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,1,1,2
TARIJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2023-01-01,0,1,1
