,group,variable,month,N° DE TBP BAAR (+) NUEVOS CANTIDAD,N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
ACHOCALLA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,1,1
AIQUILE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,1,1
ALTO BENI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,1,1
ARANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
ARBIETO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,2,1,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,1,2
ATOCHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
BETANZOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
CABEZAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,1,2
CALACOTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
CAPINOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,1,1
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,2,3,5
CHALLAPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,2,0,2
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,2,0,2
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,17,9,26
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,1,2
COLOMI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
COMARAPA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,2,3
CONCEPCION,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,1,1
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,3,1,4
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,6,3,9
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,14,9,23
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,3,1,4
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,4,1,5
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,4,0,4
HUANUNI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
HUATAJATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
INCAHUASI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
INQUISIVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,2,1,3
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,5,4,9
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,8,5,13
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,14,14,28
MACHARETI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,1,1
MAGDALENA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
MAIRANA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
