,group,variable,month,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,6,3,9
ACHOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,6,8
AIQUILE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,4,3,7
ALCALA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
ALTO BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,6,6,12
ANCORAIMES,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,0,2
ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,2,2
ANZALDO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,5,5,10
ARANI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,1,2
ARBIETO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,0,2
ARQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,1,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,7,10
ATOCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,12,5,17
AUCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
AYATA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,6,2,8
AZURDUY,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,2,5
BATALLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,4,6,10
BELLA FLOR,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
BERMEJO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,9,3,12
BETANZOS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,6,6
BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,5,8
CABEZAS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,5,5,10
"CAIZA ""D""",tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,2,3
CALACOTO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,3,4
CALAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,1,2
CAMARGO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,1,4
CAMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,1,2
CAPINOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,7,9
CAQUIAVIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
CARACOLLO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,4,6
CARANAVI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,38,30,68
CARAPARI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,7,9
CARMEN RIVERO TORREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,5,2,7
CHALLAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,4,1,5
CHAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,0,3
CHARAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,2,3
CHAYANTA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,1,2
CHIMORE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,5,8
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,8,5,13
CHUMA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,4,6
CKOCHAS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,2,3
CLIZA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,2,3
