,group,variable,month,N° DE TBP BAAR (-) NUEVOS CANTIDAD,N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-01-01,1,1,2
COROICO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-01-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-01-01,0,2,2
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-01-01,0,2,2
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-01-01,6,1,7
MAPIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-01-01,1,0,1
ROBORE,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-01-01,1,0,1
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-01-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-01-01,6,5,11
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-01-01,1,0,1
TIPUANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-01-01,1,0,1
UYUNI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-01-01,1,0,1
VIACHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-01-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-01-01,0,1,1
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-01-01,0,1,1
ACHOCALLA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,1,1,2
BERMEJO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,1,0,1
BOYUIBE,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,0,1,1
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,1,0,1
CARAPARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,1,1,2
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,1,0,1
CORO CORO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,1,0,1
COROICO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,3,2,5
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,3,2,5
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,2,0,2
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,5,1,6
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,0,1,1
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,7,4,11
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,0,2,2
TUPIZA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,0,1,1
VIACHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-02-01,0,1,1
CABEZAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,1,0,1
CHUA COCANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,1,1,2
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,1,0,1
