,group,variable,month,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-01-01,6,0,6
COLCAPIRHUA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-01-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-01-01,2,2,4
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-01-01,2,0,2
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-01-01,4,1,5
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-01-01,5,1,6
TARABUCO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-01-01,1,0,1
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-01-01,0,2,2
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-02-01,3,0,3
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-02-01,3,0,3
ENTRE RIOS CBBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-02-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-02-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-02-01,0,1,1
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-02-01,2,0,2
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-02-01,6,2,8
SIPE SIPE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-02-01,1,0,1
VILLA MONTES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-02-01,1,0,1
VINTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-02-01,1,0,1
YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-02-01,0,1,1
YOTALA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-02-01,1,0,1
CARANAVI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-03-01,6,1,7
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-03-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-03-01,3,1,4
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-03-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-03-01,14,14,28
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-03-01,1,0,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-03-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-03-01,0,1,1
SAN PEDRO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-03-01,4,4,8
SHINAOTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-03-01,1,0,1
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-03-01,1,0,1
TACOPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-03-01,0,1,1
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-03-01,3,1,4
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-03-01,2,0,2
