,group,variable,month,Nº DE PACIENTES PAUCIBACILARES CON SEGUIMIENTO A SUS CONTACTOS CANTIDAD,Nº DE PACIENTES PAUCIBACILARES CON SEGUIMIENTO A SUS CONTACTOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-01-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-01-01,4,1,5
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-02-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-02-01,2,2,4
CONCEPCION,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-03-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-03-01,1,2,3
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-04-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-04-01,3,3,6
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-05-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-05-01,12,6,18
SUCRE,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-06-01,13,0,13
CONCEPCION,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-06-01,1,3,4
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-06-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-06-01,5,1,6
BUENA VISTA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-07-01,1,0,1
HUACARETA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-07-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-07-01,0,0,0
MONTERO,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-07-01,0,1,1
POTOSI,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-07-01,3,1,4
COCHABAMBA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-08-01,4,0,4
CONCEPCION,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-08-01,2,0,2
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-08-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-08-01,1,0,1
HUACARETA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-09-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-09-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-09-01,0,3,3
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-10-01,0,0,0
COCHABAMBA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-11-01,4,0,4
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-11-01,0,0,0
MONTERO,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-11-01,0,3,3
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-12-01,0,0,0
MONTERO,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2023-12-01,1,0,1
