,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-01-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-01-01,1,1,2
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-01-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-01-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-01-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-01-01,1,0,1
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-01-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-01-01,1,0,1
TARVITA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-01-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-01-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-02-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-02-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-02-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-02-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-02-01,1,1,2
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-02-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-02-01,0,0,0
MOJOCOYA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-02-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-02-01,5,6,11
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-02-01,1,1,2
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-02-01,0,1,1
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-02-01,1,0,1
BOYUIBE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-03-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-03-01,1,1,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-03-01,1,1,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-03-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-03-01,0,0,0
PUERTO CARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-03-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-03-01,2,6,8
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-03-01,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-03-01,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-04-01,2,1,3
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-04-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-04-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-04-01,0,0,0
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-04-01,1,0,1
