,group,variable,month,Nº DE PACIENTES MULTIBACILARES CON SEGUIMIENTO A SUS CONTACTOS CANTIDAD,Nº DE PACIENTES MULTIBACILARES CON SEGUIMIENTO A SUS CONTACTOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
EL TORNO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-01-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-01-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-01-01,5,2,7
BUENA VISTA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-02-01,0,1,1
EL TORNO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-02-01,1,1,2
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-02-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-02-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-03-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-03-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-04-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-04-01,4,0,4
SUCRE,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-04-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-05-01,0,0,0
MONTERO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-05-01,5,2,7
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-06-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-06-01,1,0,1
BUENA VISTA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-07-01,4,0,4
COCHABAMBA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-07-01,4,0,4
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-07-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-07-01,2,1,3
COCHABAMBA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-08-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-08-01,1,1,2
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-09-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-09-01,4,3,7
SENA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-09-01,1,0,1
IXIAMAS,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-10-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-10-01,0,0,0
MONTERO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-10-01,5,3,8
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-10-01,0,2,2
COCHABAMBA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-11-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-11-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-11-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-12-01,0,0,0
MONTERO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-12-01,3,0,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2023-12-01,0,3,3
