,group,variable,month,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,2,0,2
ACHOCALLA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,1,1,2
AIQUILE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,0,1,1
ALTO BENI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,0,1,1
ARANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,1,0,1
ARBIETO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,1,0,1
CABEZAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,2,1,3
CALACOTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,1,0,1
CAMARGO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,1,0,1
CAPINOTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,0,1,1
CARANAVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,3,2,5
CARAPARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,0,1,1
CHALLAPATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,2,0,2
CHARAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,1,0,1
CHIMORE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,2,0,2
COBIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,27,18,45
COLCAPIRHUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,0,2,2
COLOMI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,1,0,1
COLQUENCHA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,2,0,2
COMARAPA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,0,2,2
CONCEPCION,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,0,1,1
CORIPATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,2,0,2
COROICO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,4,1,5
COTOCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,6,3,9
CUATRO CAÑADAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,0,1,1
EL ALTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,18,13,31
EL TORNO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,3,1,4
ENTRE RIOS CBBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,4,1,5
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,4,0,4
HUANUNI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,1,0,1
HUATAJATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,1,0,1
INCAHUASI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,1,0,1
INQUISIVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2023-01-01,2,1,3
