,group,variable,month,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,0,1
CAMARGO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,0,1
CHALLAPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,9,4,13
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,0,1,1
COLQUENCHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,0,1
CORIPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,0,1
COTAGAITA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,11,9,20
LA ASUNTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,2,1,3
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,17,8,25
LLALLAGUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,0,1,1
MAIRANA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,0,1,1
MECAPACA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,0,1,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,0,1,1
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,3,3,6
PADCAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,0,1
PELECHUCO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,1,2
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,0,1,1
PUNATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,0,2,2
RIBERALTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,0,2,2
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,0,1
SAMAIPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,0,1
SAN BUENA VENTURA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,10,4,14
SHINAOTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,0,1,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,3,4
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,2,1,3
TARVITA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,0,1
TIPUANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,2,0,2
TUPIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,0,1
VILLA MONTES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,1,0,1
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2023-01-01,0,2,2
