,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,2,0,2
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,0,3,3
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,0,1,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,0,1,1
ARANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,1,0,1
ARBIETO,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,1,1,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,1,1,2
ATOCHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,0,1,1
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,1,0,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,1,1,2
CALACOTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,1,0,1
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,1,0,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,2,3,5
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,2,0,2
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,2,0,2
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,2,0,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,21,11,32
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,1,2,3
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,1,0,1
COLQUENCHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,1,0,1
COMARAPA,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,0,2,2
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,2,0,2
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,4,1,5
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,1,1,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,6,3,9
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,25,20,45
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,3,0,3
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,4,1,5
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,5,0,5
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,1,0,1
HUATAJATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,1,0,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,1,0,1
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,3,1,4
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2023-01-01,6,3,9
