,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-01-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-01-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-02-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-02-01,2,1,3
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-03-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-03-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-04-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-04-01,2,2,4
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-05-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-05-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-05-01,0,2,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-05-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-06-01,0,2,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-06-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-06-01,4,1,5
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-07-01,2,0,2
HUACARETA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-07-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-07-01,0,0,0
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-07-01,3,1,4
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-08-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-08-01,0,0,0
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-08-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-09-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-09-01,1,0,1
HUACARETA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-09-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-09-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-09-01,0,2,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-10-01,0,0,0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-11-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-11-01,0,0,0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-12-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2023-12-01,0,0,0
