,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-01-01,2,2,4
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-01-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-01-01,2,1,3
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-01-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-01-01,1,0,1
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-01-01,3,2,5
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-01-01,0,1,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-02-01,6,2,8
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-02-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-02-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-02-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-02-01,3,5,8
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-02-01,0,1,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-03-01,1,0,1
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-03-01,3,0,3
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-03-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-03-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-03-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-03-01,2,0,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-03-01,2,2,4
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-04-01,4,0,4
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-04-01,2,2,4
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-04-01,3,1,4
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-04-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-04-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-04-01,3,2,5
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-04-01,0,2,2
ARQUE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-05-01,3,2,5
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-05-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-05-01,1,1,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-05-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-05-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-05-01,3,2,5
