municipality,group,variable,month,Tratamientos iniciados en el mes a niños meno,TOTAL
BERMEJO,chagas,tratamientos iniciados en el mes a ninos meno,2006-02-01,1.0,1.0
ENTRE RIOS,chagas,tratamientos iniciados en el mes a ninos meno,2006-02-01,4.0,4.0
SOPACHUY,chagas,tratamientos iniciados en el mes a ninos meno,2006-02-01,17.0,17.0
SUCRE,chagas,tratamientos iniciados en el mes a ninos meno,2006-02-01,1.0,1.0
TARATA,chagas,tratamientos iniciados en el mes a ninos meno,2006-02-01,6.0,6.0
TARVITA,chagas,tratamientos iniciados en el mes a ninos meno,2006-02-01,28.0,28.0
VILLA MONTES,chagas,tratamientos iniciados en el mes a ninos meno,2006-02-01,1.0,1.0
ARBIETO,chagas,tratamientos iniciados en el mes a ninos meno,2006-03-01,4.0,4.0
ENTRE RIOS,chagas,tratamientos iniciados en el mes a ninos meno,2006-03-01,3.0,3.0
SACABAMBA,chagas,tratamientos iniciados en el mes a ninos meno,2006-03-01,3.0,3.0
SAMAIPATA,chagas,tratamientos iniciados en el mes a ninos meno,2006-03-01,1.0,1.0
SANTA ROSA,chagas,tratamientos iniciados en el mes a ninos meno,2006-03-01,3.0,3.0
SOPACHUY,chagas,tratamientos iniciados en el mes a ninos meno,2006-03-01,18.0,18.0
TARATA,chagas,tratamientos iniciados en el mes a ninos meno,2006-03-01,12.0,12.0
TARVITA,chagas,tratamientos iniciados en el mes a ninos meno,2006-03-01,34.0,34.0
SACABAMBA,chagas,tratamientos iniciados en el mes a ninos meno,2006-04-01,15.0,15.0
ANZALDO,chagas,tratamientos iniciados en el mes a ninos meno,2006-05-01,42.0,42.0
ARBIETO,chagas,tratamientos iniciados en el mes a ninos meno,2006-05-01,2.0,2.0
AZURDUY,chagas,tratamientos iniciados en el mes a ninos meno,2006-05-01,14.0,14.0
CAIROMA,chagas,tratamientos iniciados en el mes a ninos meno,2006-05-01,2.0,2.0
CHIMORE,chagas,tratamientos iniciados en el mes a ninos meno,2006-05-01,2.0,2.0
SACABA,chagas,tratamientos iniciados en el mes a ninos meno,2006-05-01,2.0,2.0
SACABAMBA,chagas,tratamientos iniciados en el mes a ninos meno,2006-05-01,2.0,2.0
ANZALDO,chagas,tratamientos iniciados en el mes a ninos meno,2006-06-01,15.0,15.0
AZURDUY,chagas,tratamientos iniciados en el mes a ninos meno,2006-06-01,24.0,24.0
CAIROMA,chagas,tratamientos iniciados en el mes a ninos meno,2006-06-01,1.0,1.0
CAMARGO,chagas,tratamientos iniciados en el mes a ninos meno,2006-06-01,1.0,1.0
CLIZA,chagas,tratamientos iniciados en el mes a ninos meno,2006-06-01,2.0,2.0
COLPA BELGICA,chagas,tratamientos iniciados en el mes a ninos meno,2006-06-01,1.0,1.0
SACABA,chagas,tratamientos iniciados en el mes a ninos meno,2006-06-01,1.0,1.0
SACABAMBA,chagas,tratamientos iniciados en el mes a ninos meno,2006-06-01,8.0,8.0
SAN LUCAS,chagas,tratamientos iniciados en el mes a ninos meno,2006-06-01,18.0,18.0
TARVITA,chagas,tratamientos iniciados en el mes a ninos meno,2006-06-01,9.0,9.0
URIONDO (A. CONCEPCION),chagas,tratamientos iniciados en el mes a ninos meno,2006-06-01,6.0,6.0
VILLAZON,chagas,tratamientos iniciados en el mes a ninos meno,2006-06-01,7.0,7.0
AZURDUY,chagas,tratamientos iniciados en el mes a ninos meno,2006-07-01,3.0,3.0
CAIROMA,chagas,tratamientos iniciados en el mes a ninos meno,2006-07-01,1.0,1.0
CLIZA,chagas,tratamientos iniciados en el mes a ninos meno,2006-07-01,7.0,7.0
COLPA BELGICA,chagas,tratamientos iniciados en el mes a ninos meno,2006-07-01,1.0,1.0
COROICO,chagas,tratamientos iniciados en el mes a ninos meno,2006-07-01,2.0,2.0
TIRAQUE (CBBA),chagas,tratamientos iniciados en el mes a ninos meno,2006-07-01,2.0,2.0
TOCO,chagas,tratamientos iniciados en el mes a ninos meno,2006-07-01,4.0,4.0
TOLATA,chagas,tratamientos iniciados en el mes a ninos meno,2006-07-01,2.0,2.0
ZUDAÑEZ,chagas,tratamientos iniciados en el mes a ninos meno,2006-07-01,3.0,3.0
CAMIRI,chagas,tratamientos iniciados en el mes a ninos meno,2006-08-01,57.0,57.0
SACABA,chagas,tratamientos iniciados en el mes a ninos meno,2006-08-01,1.0,1.0
SUCRE,chagas,tratamientos iniciados en el mes a ninos meno,2006-08-01,13.0,13.0
TARATA,chagas,tratamientos iniciados en el mes a ninos meno,2006-08-01,2.0,2.0
TARVITA,chagas,tratamientos iniciados en el mes a ninos meno,2006-08-01,2.0,2.0
