,group,variable,month,TOTAL TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TOTAL TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TOTAL TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTAL TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CAMARGO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-01-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-01-01,1,0,0,0,1,0,1
GUAYARAMERIN,chagas,total tratamientos rn a menores de 1 ano de edad,2015-01-01,1,0,0,0,1,0,1
LA ASUNTA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-01-01,0,0,1,0,1,0,1
MONTEAGUDO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-01-01,0,1,1,0,1,1,2
POROMA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-01-01,1,1,1,1,2,2,4
PUNA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-01-01,0,0,1,0,1,0,1
SAN LUCAS,chagas,total tratamientos rn a menores de 1 ano de edad,2015-01-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-01-01,0,1,0,0,0,1,1
SUCRE,chagas,total tratamientos rn a menores de 1 ano de edad,2015-01-01,2,0,0,3,2,3,5
CAMARGO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-02-01,0,0,0,1,0,1,1
COCHABAMBA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-02-01,1,0,1,0,2,0,2
IRUPANA (VILLA DE LANZA),chagas,total tratamientos rn a menores de 1 ano de edad,2015-02-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-02-01,0,1,0,1,0,2,2
POROMA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-02-01,0,0,1,1,1,1,2
SAN LORENZO(TJA),chagas,total tratamientos rn a menores de 1 ano de edad,2015-02-01,0,1,0,0,0,1,1
