,group,variable,month,TOTAL TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TOTAL TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TOTAL TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTAL TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-01-01,0,1,0,0,0,1,1
TUPIZA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-01-01,0,0,0,1,0,1,1
AIQUILE,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-02-01,0,1,0,0,0,1,1
LA GUARDIA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-02-01,0,0,1,0,1,0,1
EL VILLAR,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-03-01,0,1,0,0,0,1,1
VILLA TUNARI,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-03-01,1,0,0,0,1,0,1
GUAYARAMERIN,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-04-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-04-01,0,1,0,0,0,1,1
AIQUILE,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-05-01,0,1,0,1,0,2,2
CAMATAQUI (C. VILLA ABECIA),chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-05-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-05-01,0,1,0,0,0,1,1
EL TORNO,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-05-01,0,0,1,0,1,0,1
LA ASUNTA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-05-01,1,0,0,0,1,0,1
SUCRE,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-05-01,0,1,0,0,0,1,1
VILLA TUNARI,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-05-01,0,0,1,0,1,0,1
