,group,variable,month,TOTAL TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TOTAL TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TOTAL TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TOTAL TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO.1,FEMENINO.1,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CARANAVI,chagas,total tratamientos en mujeres post parto,2015-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
CLIZA,chagas,total tratamientos en mujeres post parto,2015-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MONTEAGUDO,chagas,total tratamientos en mujeres post parto,2015-03-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
BETANZOS,chagas,total tratamientos en mujeres post parto,2015-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MONTERO,chagas,total tratamientos en mujeres post parto,2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARIJA,chagas,total tratamientos en mujeres post parto,2015-06-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
MONTEAGUDO,chagas,total tratamientos en mujeres post parto,2015-07-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MONTERO,chagas,total tratamientos en mujeres post parto,2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTERO,chagas,total tratamientos en mujeres post parto,2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COCHABAMBA,chagas,total tratamientos en mujeres post parto,2015-09-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
MONTEAGUDO,chagas,total tratamientos en mujeres post parto,2015-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MONTERO,chagas,total tratamientos en mujeres post parto,2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VALLEGRANDE,chagas,total tratamientos en mujeres post parto,2015-09-01,0.0,2.0,0.0,1.0,0.0,3.0,3.0
BETANZOS,chagas,total tratamientos en mujeres post parto,2015-10-01,0.0,2.0,0.0,2.0,0.0,4.0,4.0
MONTEAGUDO,chagas,total tratamientos en mujeres post parto,2015-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MONTERO,chagas,total tratamientos en mujeres post parto,2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARIJA,chagas,total tratamientos en mujeres post parto,2015-10-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
VINTO,chagas,total tratamientos en mujeres post parto,2015-10-01,0.0,5.0,0.0,0.0,0.0,5.0,5.0
COCHABAMBA,chagas,total tratamientos en mujeres post parto,2015-11-01,0.0,4.0,0.0,2.0,0.0,6.0,6.0
MONTEAGUDO,chagas,total tratamientos en mujeres post parto,2015-11-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
MONTERO,chagas,total tratamientos en mujeres post parto,2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TORO TORO,chagas,total tratamientos en mujeres post parto,2015-11-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
EL TORNO,chagas,total tratamientos en mujeres post parto,2015-12-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
MONTERO,chagas,total tratamientos en mujeres post parto,2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
