,group,variable,month,TOTAL TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TOTAL TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TOTAL TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTAL TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,chagas,total tratamientos de 15 anos y mas,2015-01-01,2,1,1,3,3,4,7
ARBIETO,chagas,total tratamientos de 15 anos y mas,2015-01-01,0,1,0,0,0,1,1
CAJUATA,chagas,total tratamientos de 15 anos y mas,2015-01-01,0,0,0,1,0,1,1
CAPINOTA,chagas,total tratamientos de 15 anos y mas,2015-01-01,1,3,1,25,2,28,30
COCHABAMBA,chagas,total tratamientos de 15 anos y mas,2015-01-01,15,31,6,6,21,37,58
EL PUENTE(TJA),chagas,total tratamientos de 15 anos y mas,2015-01-01,0,1,0,0,0,1,1
EL TORNO,chagas,total tratamientos de 15 anos y mas,2015-01-01,2,0,2,0,4,0,4
LA GUARDIA,chagas,total tratamientos de 15 anos y mas,2015-01-01,0,0,1,1,1,1,2
MAIRANA,chagas,total tratamientos de 15 anos y mas,2015-01-01,0,0,0,1,0,1,1
MONTEAGUDO,chagas,total tratamientos de 15 anos y mas,2015-01-01,1,1,0,0,1,1,2
OMEREQUE,chagas,total tratamientos de 15 anos y mas,2015-01-01,1,0,1,0,2,0,2
PAILON,chagas,total tratamientos de 15 anos y mas,2015-01-01,0,0,0,1,0,1,1
PASORAPA,chagas,total tratamientos de 15 anos y mas,2015-01-01,1,0,0,0,1,0,1
POTOSI,chagas,total tratamientos de 15 anos y mas,2015-01-01,1,1,0,0,1,1,2
PUNA,chagas,total tratamientos de 15 anos y mas,2015-01-01,0,0,0,2,0,2,2
PUNATA,chagas,total tratamientos de 15 anos y mas,2015-01-01,10,16,6,16,16,32,48
QUILLACOLLO,chagas,total tratamientos de 15 anos y mas,2015-01-01,0,1,0,0,0,1,1
SACABA,chagas,total tratamientos de 15 anos y mas,2015-01-01,1,2,2,5,3,7,10
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos de 15 anos y mas,2015-01-01,1,9,1,2,2,11,13
