,group,variable,month,TOTAL TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TOTAL TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TOTAL TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTAL TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COMARAPA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-01-01,0,0,0,1,0,1,1
EL TORNO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-01-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-01-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-01-01,0,1,0,1,0,2,2
PAILON,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-01-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-01-01,0,1,0,0,0,1,1
TARIJA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-01-01,0,1,0,2,0,3,3
TUPIZA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-01-01,0,2,0,0,0,2,2
VALLEGRANDE,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-01-01,2,0,1,1,3,1,4
VILLA MONTES,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-01-01,0,2,0,0,0,2,2
CAMATAQUI (C. VILLA ABECIA),chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-02-01,1,1,0,1,1,2,3
EL TORNO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-02-01,1,0,0,0,1,0,1
HUACARETA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-02-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-02-01,0,3,0,0,0,3,3
TARIJA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-02-01,2,1,0,0,2,1,3
