,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS,ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,3,0,3,0,3
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,1,1,1,1,2
COCAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,15,0,15,0,15
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,2,3,2,3,5
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,26,1,26,1,27
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,1,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,3,0,3,0,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,2,0,2,0,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,2,0,2,0,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,14,0,14,0,14
MINEROS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,6,0,6,0,6
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,1,4,1,4,5
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,4,0,4,0,4
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,6,0,6,0,6
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,2,1,2,1,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,4,4,4,4,8
REYES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,2,0,2,0,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,3,0,3,0,3
ROBORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,12,0,12,0,12
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,2,0,2,0,2
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,78,4,78,4,82
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,1,1,1,1,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,2,0,2,0,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,0,1,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-01-01,2,1,2,1,3
AIQUILE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,0,2,0,2,2
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,2,0,2,0,2
CHUMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,0,4,0,4,4
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,1,2,1,2,3
COCAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,5,0,5,0,5
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,4,0,4,0,4
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,1,1,1,1,2
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,4,0,4,0,4
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,19,1,19,1,20
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,0,3,0,3,3
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,1,1,1,1,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,3,0,3,0,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,4,1,4,1,5
LAJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,1,0,1,0,1
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,1,0,1,0,1
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,2,1,2,1,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,5,0,5,0,5
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,0,3,0,3,3
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,3,1,3,1,4
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,2,1,2,1,3
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,3,0,3,0,3
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,2,0,2,0,2
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,0,1,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,2,0,2,0,2
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,32,6,32,6,38
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,1,1,1,1,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,3,3,3,3,6
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,2,0,2,0,2
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2013-02-01,0,5,0,5,5
