,group,variable,month,SRP DOSIS ÚNICA,SRP DOSIS ÚNICA,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,5,4,5,4,9
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,36,23,36,23,59
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,18,10,18,10,28
AIQUILE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,29,6,29,6,35
ALALAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,3,0,3,3
ALCALA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,5,0,5,0,5
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,24,1,24,1,25
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,5,8,5,8,13
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,1,1,1,2
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,5,0,5,0,5
ANZALDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,9,15,9,15,24
APOLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,22,7,22,7,29
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,3,2,3,2,5
ARANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,24,1,24,1,25
ARBIETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,24,5,24,5,29
ARQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,28,2,28,2,30
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,52,1,52,1,53
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,8,8,8,8,16
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,4,4,4,4,8
AYATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,2,9,2,9,11
AYO AYO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,14,5,14,5,19
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,29,20,29,20,49
AZURDUY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,6,3,6,3,9
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,29,10,29,10,39
BAURES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,11,0,11,0,11
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,2,0,2,2
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,3,0,3,3
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,3,1,3,4
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,36,9,36,9,45
BETANZOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,24,7,24,7,31
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,3,0,3,3
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,2,0,2,2
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,7,0,7,7
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,12,26,12,26,38
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,31,7,31,7,38
CAIROMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,18,6,18,6,24
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,7,4,7,4,11
CAJUATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,4,5,4,5,9
CALACOTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,2,4,2,4,6
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,9,17,9,17,26
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,14,6,14,6,20
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,3,1,3,1,4
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,60,9,60,9,69
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,21,2,21,2,23
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,11,3,11,3,14
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,23,9,23,9,32
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,56,17,56,17,73
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,16,14,16,14,30
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,5,0,5,5
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,0,1,0,1
CATACORA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,2,0,2,2
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,2,1,2,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,43,13,43,13,56
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,5,7,5,7,12
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,6,1,6,7
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,17,12,17,12,29
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,27,10,27,10,37
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,2,0,2,2
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,2,0,2,0,2
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,3,3,3,3,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,26,9,26,9,35
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,10,7,10,7,17
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,13,8,13,8,21
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,10,11,10,11,21
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,28,15,28,15,43
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,83,30,83,30,113
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,14,18,14,18,32
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1348,55,1348,55,1403
COIPASA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,0,1,0,1
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,99,4,99,4,103
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,15,1,15,1,16
COLLANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,3,2,3,2,5
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,34,16,34,16,50
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,5,6,5,6,11
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,19,36,19,36,55
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,12,8,12,8,20
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,6,29,6,29,35
COMANCHE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,5,0,5,0,5
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,18,8,18,8,26
COMBAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,5,0,5,5
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,27,18,27,18,45
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,11,7,11,7,18
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,15,13,15,13,28
CORO CORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,3,1,3,4
COROICO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,13,1,13,1,14
CORQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,5,3,5,3,8
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,15,24,15,24,39
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,116,26,116,26,142
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,32,15,32,15,47
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,2,5,2,5,7
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,3,8,3,8,11
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,29,8,29,8,37
