,group,variable,month,DPT 1RA DOSIS,DPT 1RA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,0,1,0,1
AIQUILE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,0,3,0,3,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,5,0,5,0,5
BATALLAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,0,1,0,1,1
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,0,1,0,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,0,2,0,2,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,2,3,2,3,5
CALACOTO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,2,1,2,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,2,0,2,0,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,1,1,1,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,3,0,3,0,3
COCAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,123,15,123,15,138
COPACABANA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,0,1,0,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,0,2,0,2,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,0,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,44,0,44,0,44
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,5,0,5,0,5
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,0,1,0,1,1
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,3,1,3,4
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,0,1,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,17,1,17,1,18
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,8,5,8,5,13
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,5,5,5,5,10
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,2,0,2,0,2
HUACARETA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,3,0,3,0,3
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,2,1,2,1,3
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,0,8,0,8,8
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,4,1,4,1,5
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,58,0,58,0,58
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,5,0,5,0,5
MACHARETI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,0,1,0,1,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,9,0,9,0,9
MINEROS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,1,1,1,2
MIZQUE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,0,1,0,1,1
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,2,1,2,1,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,4,2,4,2,6
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,0,1,0,1,1
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,31,0,31,0,31
PASORAPA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,2,2,2,2,4
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,0,1,0,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,3,0,3,0,3
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,0,1,0,1,1
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,0,1,0,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,12,3,12,3,15
REYES,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,36,0,36,0,36
ROBORE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,6,1,6,1,7
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,5,0,5,0,5
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,2,0,2,0,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,3,1,3,1,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,3,0,3,0,3
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,6,0,6,0,6
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,2,0,2,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,0,3,0,3,3
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,4,1,4,1,5
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,9,3,9,3,12
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,395,25,395,25,420
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,4,0,4,0,4
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,14,1,14,1,15
SENA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,3,1,3,4
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,10,0,10,0,10
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,5,0,5,0,5
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,42,2,42,2,44
TAPACARI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,2,1,2,1,3
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,27,1,27,1,28
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,12,1,12,1,13
TOMINA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,0,11,0,11,11
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,1,1,1,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,47,1,47,1,48
TUPIZA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,0,1,0,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,2,1,2,1,3
VIACHA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,0,1,0,1,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,44,4,44,4,48
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2013-01-01,28,0,28,0,28
