,group,variable,month,ANTIPOLIOMIELÍTICA 4TA DOSIS,ANTIPOLIOMIELÍTICA 4TA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
AIQUILE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,16,4,16,4,20
ALCALA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,0,1,0,1,1
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,3,0,3,0,3
ANZALDO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,0,16,0,16,16
ARANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,3,4,3,4,7
ARBIETO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,10,25,10,25,35
ARQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,3,0,3,0,3
ATOCHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,0,6,0,6,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,0,1,0,1
BAURES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,6,0,6,0,6
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,38,6,38,6,44
BETANZOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,4,0,4,0,4
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,0,1,0,1,1
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,1,1,1,2
CAMARGO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,0,2,0,2,2
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,2,1,2,1,3
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,8,4,8,4,12
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,2,3,2,3,5
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,0,1,0,1
CLIZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,20,10,20,10,30
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,48,8,48,8,56
COCAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,354,13,354,13,367
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,42,0,42,0,42
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,0,1,0,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,4,4,4,4,8
COMANCHE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,4,0,4,0,4
COMARAPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,28,1,28,1,29
COPACABANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,0,1,0,1
CORO CORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,2,0,2,0,2
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,15,7,15,7,22
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,29,20,29,20,49
CULPINA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,2,0,2,0,2
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,200,4,200,4,204
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,6,3,6,3,9
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,71,2,71,2,73
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,0,2,0,2,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,14,2,14,2,16
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,10,2,10,2,12
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,27,1,27,1,28
HUACARETA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,6,1,6,1,7
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,0,1,0,1,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,2,4,2,4,6
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,2,0,2,0,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,5,0,5,0,5
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,190,1,190,1,191
LAJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,7,0,7,0,7
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,4,0,4,0,4
LORETO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,0,1,0,1,1
MACHARETI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,0,1,0,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,0,1,0,1
MAIRANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,5,0,5,0,5
MINEROS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,14,0,14,0,14
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,2,8,2,8,10
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,37,3,37,3,40
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,85,0,85,0,85
MORO MORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,5,5,5,5,10
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,1,1,1,2
OKINAWA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,15,0,15,0,15
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,2,5,2,5,7
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,178,0,178,0,178
PADCAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,2,1,2,1,3
PADILLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,12,1,12,1,13
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,0,1,0,1
PAZÑA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,2,6,2,6,8
POCONA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,5,6,5,6,11
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,2,1,2,3
POROMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,3,6,3,6,9
PORONGO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,0,1,0,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,91,1,91,1,92
PRESTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,4,1,4,5
PUCARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,3,3,3,3,6
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,9,0,9,0,9
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,0,1,0,1
