,group,variable,month,ANTI AMARÍLICA,ANTI AMARÍLICA,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,6,4,6,4,10
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,33,15,33,15,48
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,8,8,8,8,16
AIQUILE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,29,7,29,7,36
ALALAY,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,2,0,2,2
ALCALA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,5,0,5,0,5
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,20,1,20,1,21
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,5,8,5,8,13
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,3,1,3,1,4
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,5,0,5,0,5
ANZALDO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,9,16,9,16,25
APOLO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,22,7,22,7,29
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,4,1,4,1,5
ARANI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,17,0,17,0,17
ARBIETO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,13,7,13,7,20
ARQUE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,28,0,28,0,28
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,58,0,58,0,58
ATOCHA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,4,31,4,31,35
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,3,0,3,3
AYATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,2,5,2,5,7
AYO AYO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,5,0,5,0,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,26,15,26,15,41
AZURDUY,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,3,2,3,2,5
BATALLAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,25,7,25,7,32
BAURES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,11,0,11,0,11
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,2,0,2,2
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1,1,1,1,2
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,3,0,3,3
BERMEJO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,25,4,25,4,29
BETANZOS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,9,8,9,8,17
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,3,0,3,3
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,2,0,2,2
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,6,0,6,6
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,13,23,13,23,36
CABEZAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,24,3,24,3,27
CAIROMA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,18,4,18,4,22
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,3,10,3,10,13
CAJUATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,6,11,6,11,17
CALACOTO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,2,5,2,5,7
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,15,15,15,15,30
CAMARGO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,16,2,16,2,18
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,5,1,5,1,6
CAMIRI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,70,8,70,8,78
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,19,1,19,1,20
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1,1,1,1,2
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,23,4,23,4,27
CARANAVI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,54,17,54,17,71
CARAPARI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,16,13,16,13,29
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,4,0,4,4
CATACORA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,1,0,1,1
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,42,10,42,10,52
CHAQUI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,8,4,8,4,12
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,8,30,8,30,38
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,13,7,13,7,20
CHIMORE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,28,11,28,11,39
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,2,0,2,2
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,23,11,23,11,34
CHUMA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,10,9,10,9,19
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,6,0,6,6
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,3,5,3,5,8
CLIZA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,28,18,28,18,46
COBIJA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,88,37,88,37,125
COCAPATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,7,9,7,9,16
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1372,85,1372,85,1457
COIPASA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1,0,1,0,1
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,101,4,101,4,105
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,14,4,14,4,18
COLOMI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,33,15,33,15,48
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,3,6,3,6,9
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,12,33,12,33,45
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,15,0,15,15
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,28,0,28,28
COMANCHE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,4,0,4,0,4
COMARAPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,15,8,15,8,23
COMBAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,5,0,5,5
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,27,19,27,19,46
COPACABANA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,7,5,7,5,12
CORIPATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,12,13,12,13,25
CORO CORO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1,3,1,3,4
COROICO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,8,2,8,2,10
CORQUE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,4,3,4,3,7
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,5,20,5,20,25
COTOCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,117,18,117,18,135
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,29,15,29,15,44
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1,5,1,5,6
CUEVO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,7,0,7,7
CULPINA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,26,11,26,11,37
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,3,1,3,1,4
CURVA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,2,0,2,2
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,6,8,6,8,14
EL ALTO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1165,19,1165,19,1184
EL CHORO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,2,4,2,4,6
