,group,variable,month,DPT 2DA DOSIS,DPT 2DA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,1,0,1,0,1
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,1,1,1,1,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,3,0,3,0,3
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,1,1,1,1,2
COCAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,15,0,15,0,15
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,2,3,2,3,5
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,29,1,29,1,30
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,1,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,3,0,3,0,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,2,0,2,0,2
HUACARETA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,2,0,2,0,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,2,0,2,0,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,2,0,2,0,2
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,13,0,13,0,13
MINEROS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,6,0,6,0,6
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,1,1,1,1,2
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,10,0,10,0,10
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,5,0,5,0,5
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,0,3,0,3,3
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,1,1,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,4,4,4,4,8
RAVELO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,6,0,6,0,6
REYES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,2,0,2,0,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,15,0,15,0,15
ROBORE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,2,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,2,0,2,0,2
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,3,0,3,0,3
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,84,2,84,2,86
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,1,1,1,1,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,2,1,2,1,3
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-01-01,1,0,1,0,1
AIQUILE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,1,0,1,0,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,2,0,2,0,2
CARAPARI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,0,2,0,2,2
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,2,0,2,0,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,1,2,1,2,3
COCAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,2,0,2,0,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,1,1,1,1,2
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,4,0,4,0,4
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,18,1,18,1,19
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,0,3,0,3,3
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,1,1,1,1,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,3,0,3,0,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,4,0,4,0,4
MIZQUE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,1,0,1,0,1
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,2,1,2,1,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,7,0,7,0,7
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,0,3,0,3,3
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,2,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,3,1,3,1,4
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,2,1,2,1,3
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,3,0,3,0,3
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,2,0,2,0,2
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,0,1,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,2,0,2,0,2
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,20,2,20,2,22
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,1,1,1,1,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,3,3,3,3,6
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,2,0,2,0,2
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,0,5,0,5,5
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,1,1,1,1,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,3,0,3,0,3
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,1,0,1,0,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-02-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2013-03-01,1,0,1,0,1
