,group,variable,month,DPT 3RA DOSIS,DPT 3RA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,2,0,2,0,2
ARQUE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,3,0,3,0,3
ATOCHA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,3,1,3,1,4
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,0,1,0,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,0,3,0,3,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,31,1,31,1,32
COMARAPA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,0,1,0,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,42,1,42,1,43
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,2,1,2,3
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,3,0,3,0,3
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,3,0,3,0,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,24,0,24,0,24
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,5,0,5,0,5
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,6,0,6,0,6
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,3,1,3,4
OKINAWA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,14,0,14,0,14
POCONA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,5,0,5,0,5
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,4,1,4,1,5
PUNATA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,4,3,4,3,7
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,0,1,0,1,1
REYES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,2,0,2,0,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,5,0,5,0,5
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,1,1,1,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,5,2,5,2,7
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,2,0,2,0,2
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,0,1,0,1
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,58,2,58,2,60
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,2,0,2,0,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,2,0,2,0,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,6,0,6,0,6
TACACOMA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,0,1,0,1
TARATA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,5,1,5,1,6
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,0,1,0,1,1
TOLEDO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,4,6,4,6,10
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-01-01,25,0,25,0,25
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,1,0,1,0,1
ATOCHA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,0,1,0,1,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,1,0,1,0,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,10,0,10,0,10
COROICO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,18,0,18,0,18
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,2,3,2,3,5
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,1,2,1,2,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,5,0,5,0,5
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,10,1,10,1,11
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,0,2,0,2,2
MINEROS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,0,2,0,2,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,7,0,7,0,7
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,6,0,6,0,6
PADCAYA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,4,0,4,0,4
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,0,1,0,1,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,5,2,5,2,7
REYES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,4,2,4,2,6
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,2,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2013-02-01,0,4,0,4,4
