municipality,group,variable,month,Total de casos confirmados,TOTAL
BAURES,malaria,total de casos confirmados,2007-01-01,10,10
BERMEJO,malaria,total de casos confirmados,2007-01-01,84,84
CARANAVI,malaria,total de casos confirmados,2007-01-01,3,3
CARAPARI,malaria,total de casos confirmados,2007-01-01,3,3
COBIJA,malaria,total de casos confirmados,2007-01-01,22,22
EL TORNO,malaria,total de casos confirmados,2007-01-01,39,39
ENTRE RIOS,malaria,total de casos confirmados,2007-01-01,14,14
FILADELFIA,malaria,total de casos confirmados,2007-01-01,9,9
GUANAY,malaria,total de casos confirmados,2007-01-01,4,4
GUAYARAMERIN,malaria,total de casos confirmados,2007-01-01,521,521
INGAVI (HUMAITA),malaria,total de casos confirmados,2007-01-01,14,14
MAGDALENA,malaria,total de casos confirmados,2007-01-01,1,1
MIZQUE,malaria,total de casos confirmados,2007-01-01,3,3
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2007-01-01,10,10
PADCAYA,malaria,total de casos confirmados,2007-01-01,33,33
PADILLA,malaria,total de casos confirmados,2007-01-01,1,1
PORONGO,malaria,total de casos confirmados,2007-01-01,6,6
PORVENIR,malaria,total de casos confirmados,2007-01-01,5,5
PUERTO RICO,malaria,total de casos confirmados,2007-01-01,26,26
REYES,malaria,total de casos confirmados,2007-01-01,2,2
RIBERALTA,malaria,total de casos confirmados,2007-01-01,582,582
RURRENABAQUE,malaria,total de casos confirmados,2007-01-01,4,4
SAN BORJA,malaria,total de casos confirmados,2007-01-01,3,3
SAN IGNACIO DE VELASCO,malaria,total de casos confirmados,2007-01-01,12,12
SAN LORENZO(PND),malaria,total de casos confirmados,2007-01-01,15,15
SAN PEDRO(PND),malaria,total de casos confirmados,2007-01-01,3,3
SANTA ROSA,malaria,total de casos confirmados,2007-01-01,1,1
SENA,malaria,total de casos confirmados,2007-01-01,9,9
TEOPONTE,malaria,total de casos confirmados,2007-01-01,3,3
TIRAQUE (CBBA),malaria,total de casos confirmados,2007-01-01,3,3
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2007-01-01,3,3
VILLA SERRANO,malaria,total de casos confirmados,2007-01-01,3,3
VILLA TUNARI,malaria,total de casos confirmados,2007-01-01,25,25
VILLA VACA GUZMAN (MUYUPAMPA),malaria,total de casos confirmados,2007-01-01,2,2
YACUIBA,malaria,total de casos confirmados,2007-01-01,17,17
YUNCHARA,malaria,total de casos confirmados,2007-01-01,2,2
BAURES,malaria,total de casos confirmados,2007-02-01,18,18
BERMEJO,malaria,total de casos confirmados,2007-02-01,16,16
CARANAVI,malaria,total de casos confirmados,2007-02-01,3,3
CARAPARI,malaria,total de casos confirmados,2007-02-01,7,7
COBIJA,malaria,total de casos confirmados,2007-02-01,18,18
EL TORNO,malaria,total de casos confirmados,2007-02-01,9,9
ENTRE RIOS,malaria,total de casos confirmados,2007-02-01,3,3
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2007-02-01,6,6
GUAYARAMERIN,malaria,total de casos confirmados,2007-02-01,570,570
HUACARETA,malaria,total de casos confirmados,2007-02-01,2,2
INGAVI (HUMAITA),malaria,total de casos confirmados,2007-02-01,3,3
IXIAMAS,malaria,total de casos confirmados,2007-02-01,31,31
LA GUARDIA,malaria,total de casos confirmados,2007-02-01,2,2
LA PAZ,malaria,total de casos confirmados,2007-02-01,2,2
MIZQUE,malaria,total de casos confirmados,2007-02-01,1,1
MONTEAGUDO,malaria,total de casos confirmados,2007-02-01,2,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2007-02-01,7,7
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2007-02-01,14,14
PADCAYA,malaria,total de casos confirmados,2007-02-01,5,5
PADILLA,malaria,total de casos confirmados,2007-02-01,4,4
PORONGO,malaria,total de casos confirmados,2007-02-01,14,14
PUERTO RICO,malaria,total de casos confirmados,2007-02-01,12,12
REYES,malaria,total de casos confirmados,2007-02-01,6,6
RIBERALTA,malaria,total de casos confirmados,2007-02-01,590,590
RURRENABAQUE,malaria,total de casos confirmados,2007-02-01,1,1
SAN BORJA,malaria,total de casos confirmados,2007-02-01,8,8
SAN IGNACIO DE VELASCO,malaria,total de casos confirmados,2007-02-01,5,5
SAN JOAQUIN,malaria,total de casos confirmados,2007-02-01,1,1
SAN LORENZO(PND),malaria,total de casos confirmados,2007-02-01,16,16
SAN PEDRO(PND),malaria,total de casos confirmados,2007-02-01,3,3
SAN RAFAEL,malaria,total de casos confirmados,2007-02-01,2,2
SAN RAMON,malaria,total de casos confirmados,2007-02-01,1,1
SENA,malaria,total de casos confirmados,2007-02-01,56,56
TEOPONTE,malaria,total de casos confirmados,2007-02-01,1,1
VILLA MONTES,malaria,total de casos confirmados,2007-02-01,17,17
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2007-02-01,8,8
VILLA TUNARI,malaria,total de casos confirmados,2007-02-01,9,9
YACUIBA,malaria,total de casos confirmados,2007-02-01,10,10
BAURES,malaria,total de casos confirmados,2007-03-01,11,11
BERMEJO,malaria,total de casos confirmados,2007-03-01,9,9
CARANAVI,malaria,total de casos confirmados,2007-03-01,1,1
CARAPARI,malaria,total de casos confirmados,2007-03-01,36,36
COBIJA,malaria,total de casos confirmados,2007-03-01,22,22
EL TORNO,malaria,total de casos confirmados,2007-03-01,2,2
ENTRE RIOS,malaria,total de casos confirmados,2007-03-01,16,16
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2007-03-01,20,20
GUANAY,malaria,total de casos confirmados,2007-03-01,3,3
GUAYARAMERIN,malaria,total de casos confirmados,2007-03-01,440,440
HUACARETA,malaria,total de casos confirmados,2007-03-01,1,1
INGAVI (HUMAITA),malaria,total de casos confirmados,2007-03-01,6,6
IRUPANA (VILLA DE LANZA),malaria,total de casos confirmados,2007-03-01,1,1
MACHARETI,malaria,total de casos confirmados,2007-03-01,1,1
MAGDALENA,malaria,total de casos confirmados,2007-03-01,1,1
MIZQUE,malaria,total de casos confirmados,2007-03-01,3,3
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2007-03-01,6,6
