municipality,group,variable,month,Número de Muestras hemáticas tomadas,TOTAL
AIQUILE,malaria,numero de muestras hematicas tomadas,2007-01-01,11,11
ALCALA,malaria,numero de muestras hematicas tomadas,2007-01-01,1,1
APOLO,malaria,numero de muestras hematicas tomadas,2007-01-01,25,25
AUCAPATA,malaria,numero de muestras hematicas tomadas,2007-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),malaria,numero de muestras hematicas tomadas,2007-01-01,2,2
AZURDUY,malaria,numero de muestras hematicas tomadas,2007-01-01,27,27
BAURES,malaria,numero de muestras hematicas tomadas,2007-01-01,65,65
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2007-01-01,56,56
BERMEJO,malaria,numero de muestras hematicas tomadas,2007-01-01,841,841
CARANAVI,malaria,numero de muestras hematicas tomadas,2007-01-01,53,53
CARAPARI,malaria,numero de muestras hematicas tomadas,2007-01-01,288,288
CHARAGUA,malaria,numero de muestras hematicas tomadas,2007-01-01,1,1
COBIJA,malaria,numero de muestras hematicas tomadas,2007-01-01,292,292
COLOMI,malaria,numero de muestras hematicas tomadas,2007-01-01,5,5
EL PUENTE(TJA),malaria,numero de muestras hematicas tomadas,2007-01-01,1,1
EL TORNO,malaria,numero de muestras hematicas tomadas,2007-01-01,206,206
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2007-01-01,387,387
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2007-01-01,6,6
FILADELFIA,malaria,numero de muestras hematicas tomadas,2007-01-01,72,72
GUANAY,malaria,numero de muestras hematicas tomadas,2007-01-01,132,132
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2007-01-01,3261,3261
HUACARETA,malaria,numero de muestras hematicas tomadas,2007-01-01,23,23
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2007-01-01,63,63
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2007-01-01,26,26
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2007-01-01,35,35
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2007-01-01,4,4
MACHARETI,malaria,numero de muestras hematicas tomadas,2007-01-01,1,1
MAGDALENA,malaria,numero de muestras hematicas tomadas,2007-01-01,98,98
MAPIRI,malaria,numero de muestras hematicas tomadas,2007-01-01,90,90
MIZQUE,malaria,numero de muestras hematicas tomadas,2007-01-01,20,20
MOJOCOYA,malaria,numero de muestras hematicas tomadas,2007-01-01,1,1
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2007-01-01,411,411
MOROCHATA,malaria,numero de muestras hematicas tomadas,2007-01-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2007-01-01,70,70
OMEREQUE,malaria,numero de muestras hematicas tomadas,2007-01-01,8,8
PADCAYA,malaria,numero de muestras hematicas tomadas,2007-01-01,352,352
PADILLA,malaria,numero de muestras hematicas tomadas,2007-01-01,4,4
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2007-01-01,65,65
POCONA,malaria,numero de muestras hematicas tomadas,2007-01-01,1,1
POROMA,malaria,numero de muestras hematicas tomadas,2007-01-01,20,20
PORONGO,malaria,numero de muestras hematicas tomadas,2007-01-01,36,36
PORVENIR,malaria,numero de muestras hematicas tomadas,2007-01-01,102,102
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2007-01-01,61,61
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2007-01-01,578,578
REYES,malaria,numero de muestras hematicas tomadas,2007-01-01,132,132
RIBERALTA,malaria,numero de muestras hematicas tomadas,2007-01-01,5300,5300
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2007-01-01,11,11
SAIPINA,malaria,numero de muestras hematicas tomadas,2007-01-01,20,20
SAN BORJA,malaria,numero de muestras hematicas tomadas,2007-01-01,5,5
SAN BUENA VENTURA,malaria,numero de muestras hematicas tomadas,2007-01-01,15,15
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2007-01-01,77,77
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2007-01-01,309,309
SAN LORENZO(TJA),malaria,numero de muestras hematicas tomadas,2007-01-01,2,2
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2007-01-01,31,31
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2007-01-01,1,1
SENA,malaria,numero de muestras hematicas tomadas,2007-01-01,160,160
SOPACHUY,malaria,numero de muestras hematicas tomadas,2007-01-01,1,1
TEOPONTE,malaria,numero de muestras hematicas tomadas,2007-01-01,98,98
TIRAQUE (CBBA),malaria,numero de muestras hematicas tomadas,2007-01-01,24,24
TOMINA,malaria,numero de muestras hematicas tomadas,2007-01-01,2,2
TORO TORO,malaria,numero de muestras hematicas tomadas,2007-01-01,8,8
TOTORA(CBBA),malaria,numero de muestras hematicas tomadas,2007-01-01,1,1
VALLEGRANDE,malaria,numero de muestras hematicas tomadas,2007-01-01,3,3
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2007-01-01,28,28
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2007-01-01,363,363
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2007-01-01,49,49
YACUIBA,malaria,numero de muestras hematicas tomadas,2007-01-01,112,112
YUNCHARA,malaria,numero de muestras hematicas tomadas,2007-01-01,2,2
AIQUILE,malaria,numero de muestras hematicas tomadas,2007-02-01,5,5
APOLO,malaria,numero de muestras hematicas tomadas,2007-02-01,57,57
AZURDUY,malaria,numero de muestras hematicas tomadas,2007-02-01,16,16
BAURES,malaria,numero de muestras hematicas tomadas,2007-02-01,72,72
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2007-02-01,72,72
BERMEJO,malaria,numero de muestras hematicas tomadas,2007-02-01,122,122
CABEZAS,malaria,numero de muestras hematicas tomadas,2007-02-01,5,5
CARANAVI,malaria,numero de muestras hematicas tomadas,2007-02-01,87,87
CARAPARI,malaria,numero de muestras hematicas tomadas,2007-02-01,781,781
CHIMORE,malaria,numero de muestras hematicas tomadas,2007-02-01,1,1
COBIJA,malaria,numero de muestras hematicas tomadas,2007-02-01,197,197
COLOMI,malaria,numero de muestras hematicas tomadas,2007-02-01,2,2
EL PUENTE(TJA),malaria,numero de muestras hematicas tomadas,2007-02-01,1,1
EL TORNO,malaria,numero de muestras hematicas tomadas,2007-02-01,141,141
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2007-02-01,257,257
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2007-02-01,10,10
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2007-02-01,43,43
EXALTACION,malaria,numero de muestras hematicas tomadas,2007-02-01,1,1
FILADELFIA,malaria,numero de muestras hematicas tomadas,2007-02-01,71,71
GUANAY,malaria,numero de muestras hematicas tomadas,2007-02-01,103,103
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2007-02-01,2312,2312
HUACARETA,malaria,numero de muestras hematicas tomadas,2007-02-01,52,52
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2007-02-01,17,17
IXIAMAS,malaria,numero de muestras hematicas tomadas,2007-02-01,571,571
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2007-02-01,93,93
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2007-02-01,103,103
LA PAZ,malaria,numero de muestras hematicas tomadas,2007-02-01,86,86
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2007-02-01,2,2
MAGDALENA,malaria,numero de muestras hematicas tomadas,2007-02-01,84,84
MAPIRI,malaria,numero de muestras hematicas tomadas,2007-02-01,108,108
MIZQUE,malaria,numero de muestras hematicas tomadas,2007-02-01,6,6
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2007-02-01,534,534
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2007-02-01,147,147
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2007-02-01,239,239
PADCAYA,malaria,numero de muestras hematicas tomadas,2007-02-01,217,217
PADILLA,malaria,numero de muestras hematicas tomadas,2007-02-01,12,12
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2007-02-01,58,58
POROMA,malaria,numero de muestras hematicas tomadas,2007-02-01,6,6
PORONGO,malaria,numero de muestras hematicas tomadas,2007-02-01,60,60
PORVENIR,malaria,numero de muestras hematicas tomadas,2007-02-01,198,198
PRESTO,malaria,numero de muestras hematicas tomadas,2007-02-01,5,5
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2007-02-01,35,35
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2007-02-01,564,564
PUERTO VILLARROEL,malaria,numero de muestras hematicas tomadas,2007-02-01,1,1
REYES,malaria,numero de muestras hematicas tomadas,2007-02-01,6,6
RIBERALTA,malaria,numero de muestras hematicas tomadas,2007-02-01,3559,3559
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2007-02-01,8,8
SAIPINA,malaria,numero de muestras hematicas tomadas,2007-02-01,80,80
SAN BORJA,malaria,numero de muestras hematicas tomadas,2007-02-01,12,12
SAN BUENA VENTURA,malaria,numero de muestras hematicas tomadas,2007-02-01,18,18
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2007-02-01,45,45
SAN JOAQUIN,malaria,numero de muestras hematicas tomadas,2007-02-01,3,3
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2007-02-01,341,341
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2007-02-01,20,20
SAN RAFAEL,malaria,numero de muestras hematicas tomadas,2007-02-01,2,2
SAN RAMON,malaria,numero de muestras hematicas tomadas,2007-02-01,1,1
SANTA ANA,malaria,numero de muestras hematicas tomadas,2007-02-01,1,1
SENA,malaria,numero de muestras hematicas tomadas,2007-02-01,560,560
