municipality,group,variable,month,Tratamientos iniciados por sospecha,TOTAL
ALCALA,malaria,tratamientos iniciados por sospecha,2007-01-01,1,1
BERMEJO,malaria,tratamientos iniciados por sospecha,2007-01-01,72,72
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2007-01-01,1,1
CHIMORE,malaria,tratamientos iniciados por sospecha,2007-01-01,1,1
CULPINA,malaria,tratamientos iniciados por sospecha,2007-01-01,9,9
EL PUENTE(TJA),malaria,tratamientos iniciados por sospecha,2007-01-01,1,1
ENTRE RIOS,malaria,tratamientos iniciados por sospecha,2007-01-01,2,2
GUANAY,malaria,tratamientos iniciados por sospecha,2007-01-01,3,3
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2007-01-01,4,4
LAGUNILLAS,malaria,tratamientos iniciados por sospecha,2007-01-01,4,4
MACHARETI,malaria,tratamientos iniciados por sospecha,2007-01-01,1,1
MAIRANA,malaria,tratamientos iniciados por sospecha,2007-01-01,1,1
MOJOCOYA,malaria,tratamientos iniciados por sospecha,2007-01-01,1,1
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2007-01-01,3,3
PADCAYA,malaria,tratamientos iniciados por sospecha,2007-01-01,2,2
PADILLA,malaria,tratamientos iniciados por sospecha,2007-01-01,4,4
PAMPA GRANDE,malaria,tratamientos iniciados por sospecha,2007-01-01,2,2
POCONA,malaria,tratamientos iniciados por sospecha,2007-01-01,1,1
POROMA,malaria,tratamientos iniciados por sospecha,2007-01-01,20,20
REYES,malaria,tratamientos iniciados por sospecha,2007-01-01,5,5
SAN BORJA,malaria,tratamientos iniciados por sospecha,2007-01-01,2,2
TIRAQUE (CBBA),malaria,tratamientos iniciados por sospecha,2007-01-01,24,24
TORO TORO,malaria,tratamientos iniciados por sospecha,2007-01-01,8,8
TOTORA(CBBA),malaria,tratamientos iniciados por sospecha,2007-01-01,1,1
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2007-01-01,2,2
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2007-01-01,3,3
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2007-01-01,363,363
WARNES,malaria,tratamientos iniciados por sospecha,2007-01-01,1,1
YACUIBA,malaria,tratamientos iniciados por sospecha,2007-01-01,8,8
YUNCHARA,malaria,tratamientos iniciados por sospecha,2007-01-01,2,2
AZURDUY,malaria,tratamientos iniciados por sospecha,2007-02-01,2,2
BERMEJO,malaria,tratamientos iniciados por sospecha,2007-02-01,16,16
CABEZAS,malaria,tratamientos iniciados por sospecha,2007-02-01,5,5
CARANAVI,malaria,tratamientos iniciados por sospecha,2007-02-01,6,6
CONCEPCION,malaria,tratamientos iniciados por sospecha,2007-02-01,4,4
EL PUENTE(TJA),malaria,tratamientos iniciados por sospecha,2007-02-01,1,1
EXALTACION,malaria,tratamientos iniciados por sospecha,2007-02-01,1,1
GUANAY,malaria,tratamientos iniciados por sospecha,2007-02-01,25,25
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2007-02-01,7,7
HUACARETA,malaria,tratamientos iniciados por sospecha,2007-02-01,27,27
IXIAMAS,malaria,tratamientos iniciados por sospecha,2007-02-01,6,6
LAGUNILLAS,malaria,tratamientos iniciados por sospecha,2007-02-01,2,2
MACHARETI,malaria,tratamientos iniciados por sospecha,2007-02-01,1,1
MAPIRI,malaria,tratamientos iniciados por sospecha,2007-02-01,26,26
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2007-02-01,1,1
PADILLA,malaria,tratamientos iniciados por sospecha,2007-02-01,12,12
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2007-02-01,2,2
POROMA,malaria,tratamientos iniciados por sospecha,2007-02-01,6,6
PRESTO,malaria,tratamientos iniciados por sospecha,2007-02-01,2,2
REYES,malaria,tratamientos iniciados por sospecha,2007-02-01,3,3
SANTA ANA,malaria,tratamientos iniciados por sospecha,2007-02-01,1,1
SUCRE,malaria,tratamientos iniciados por sospecha,2007-02-01,2,2
TARVITA,malaria,tratamientos iniciados por sospecha,2007-02-01,1,1
TEOPONTE,malaria,tratamientos iniciados por sospecha,2007-02-01,6,6
TIRAQUE (CBBA),malaria,tratamientos iniciados por sospecha,2007-02-01,24,24
TORO TORO,malaria,tratamientos iniciados por sospecha,2007-02-01,5,5
TOTORA(CBBA),malaria,tratamientos iniciados por sospecha,2007-02-01,3,3
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2007-02-01,1,1
VILA VILA,malaria,tratamientos iniciados por sospecha,2007-02-01,1,1
VILLA MONTES,malaria,tratamientos iniciados por sospecha,2007-02-01,19,19
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2007-02-01,477,477
YACUIBA,malaria,tratamientos iniciados por sospecha,2007-02-01,17,17
AZURDUY,malaria,tratamientos iniciados por sospecha,2007-03-01,2,2
BERMEJO,malaria,tratamientos iniciados por sospecha,2007-03-01,7,7
CABEZAS,malaria,tratamientos iniciados por sospecha,2007-03-01,7,7
CAMARGO,malaria,tratamientos iniciados por sospecha,2007-03-01,1,1
CAMIRI,malaria,tratamientos iniciados por sospecha,2007-03-01,1,1
COLOMI,malaria,tratamientos iniciados por sospecha,2007-03-01,3,3
CONCEPCION,malaria,tratamientos iniciados por sospecha,2007-03-01,3,3
CULPINA,malaria,tratamientos iniciados por sospecha,2007-03-01,9,9
EXALTACION,malaria,tratamientos iniciados por sospecha,2007-03-01,4,4
GUANAY,malaria,tratamientos iniciados por sospecha,2007-03-01,45,45
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2007-03-01,5,5
HUACARETA,malaria,tratamientos iniciados por sospecha,2007-03-01,8,8
INCAHUASI,malaria,tratamientos iniciados por sospecha,2007-03-01,1,1
IXIAMAS,malaria,tratamientos iniciados por sospecha,2007-03-01,10,10
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2007-03-01,16,16
LAGUNILLAS,malaria,tratamientos iniciados por sospecha,2007-03-01,2,2
MAIRANA,malaria,tratamientos iniciados por sospecha,2007-03-01,1,1
MAPIRI,malaria,tratamientos iniciados por sospecha,2007-03-01,46,46
