,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CAPINOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-01-01,0,0,1,0,1,0,1
COMARAPA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-01-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-01-01,1,1,0,0,1,1,2
PADILLA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-01-01,0,2,0,0,0,2,2
QUIRUSILLAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-01-01,0,2,1,0,1,2,3
SHINAOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-01-01,0,0,1,0,1,0,1
SOPACHUY,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-01-01,0,5,0,0,0,5,5
TACOBAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-01-01,0,1,0,0,0,1,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-01-01,0,0,1,0,1,0,1
VILLA TUNARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-01-01,1,0,0,0,1,0,1
VINTO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-01-01,0,2,0,0,0,2,2
WARNES,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-01-01,0,0,1,0,1,0,1
CAPINOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-02-01,0,0,2,0,2,0,2
EL TORNO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-02-01,0,0,1,0,1,0,1
LA ASUNTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-02-01,1,0,0,0,1,0,1
MIZQUE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-02-01,0,0,1,1,1,1,2
