,group,variable,month,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO.1,FEMENINO.1,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
EL TORNO,chagas,tratamientos en mujeres post parto,2010-01-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos en mujeres post parto,2010-02-01,0,1,0,0,0,1,1
PUNATA,chagas,tratamientos en mujeres post parto,2010-02-01,0,2,0,0,0,2,2
TUPIZA,chagas,tratamientos en mujeres post parto,2010-02-01,0,0,0,1,0,1,1
PUNATA,chagas,tratamientos en mujeres post parto,2010-03-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos en mujeres post parto,2010-03-01,0,0,0,0,0,0,0
TORO TORO,chagas,tratamientos en mujeres post parto,2010-03-01,0,1,0,0,0,1,1
AZURDUY,chagas,tratamientos en mujeres post parto,2010-04-01,0,0,0,1,0,1,1
MAIRANA,chagas,tratamientos en mujeres post parto,2010-04-01,0,1,0,0,0,1,1
PUNATA,chagas,tratamientos en mujeres post parto,2010-04-01,0,2,0,0,0,2,2
TORO TORO,chagas,tratamientos en mujeres post parto,2010-04-01,0,0,0,1,0,1,1
VITICHI,chagas,tratamientos en mujeres post parto,2010-04-01,0,6,0,0,0,6,6
PUNATA,chagas,tratamientos en mujeres post parto,2010-05-01,0,2,0,2,0,4,4
VILLAZON,chagas,tratamientos en mujeres post parto,2010-05-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,tratamientos en mujeres post parto,2010-06-01,0,2,0,1,0,3,3
LA GUARDIA,chagas,tratamientos en mujeres post parto,2010-06-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,tratamientos en mujeres post parto,2010-06-01,0,4,0,2,0,6,6
SANTA CRUZ DE LA SIERRA,chagas,tratamientos en mujeres post parto,2010-06-01,0,0,0,0,0,0,0
TARABUCO,chagas,tratamientos en mujeres post parto,2010-06-01,0,3,0,0,0,3,3
VILLAZON,chagas,tratamientos en mujeres post parto,2010-06-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,tratamientos en mujeres post parto,2010-07-01,0,1,0,0,0,1,1
LA GUARDIA,chagas,tratamientos en mujeres post parto,2010-07-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,tratamientos en mujeres post parto,2010-07-01,0,4,0,0,0,4,4
SANTA CRUZ DE LA SIERRA,chagas,tratamientos en mujeres post parto,2010-07-01,0,0,0,0,0,0,0
TARABUCO,chagas,tratamientos en mujeres post parto,2010-07-01,0,1,0,0,0,1,1
VILLAZON,chagas,tratamientos en mujeres post parto,2010-07-01,0,2,0,1,0,3,3
COCHABAMBA,chagas,tratamientos en mujeres post parto,2010-08-01,0,6,0,0,0,6,6
ICLA,chagas,tratamientos en mujeres post parto,2010-08-01,0,1,0,0,0,1,1
LA GUARDIA,chagas,tratamientos en mujeres post parto,2010-08-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos en mujeres post parto,2010-08-01,0,0,0,0,0,0,0
COCHABAMBA,chagas,tratamientos en mujeres post parto,2010-09-01,0,1,0,1,0,2,2
MONTEAGUDO,chagas,tratamientos en mujeres post parto,2010-09-01,0,1,0,0,0,1,1
MONTERO,chagas,tratamientos en mujeres post parto,2010-09-01,0,110,0,0,0,110,110
SANTA CRUZ DE LA SIERRA,chagas,tratamientos en mujeres post parto,2010-09-01,0,0,0,0,0,0,0
TARABUCO,chagas,tratamientos en mujeres post parto,2010-09-01,0,0,0,2,0,2,2
COCHABAMBA,chagas,tratamientos en mujeres post parto,2010-10-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,tratamientos en mujeres post parto,2010-10-01,0,1,0,1,0,2,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos en mujeres post parto,2010-10-01,0,0,0,0,0,0,0
TARABUCO,chagas,tratamientos en mujeres post parto,2010-10-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,tratamientos en mujeres post parto,2010-11-01,0,2,0,2,0,4,4
CUATRO CAÑADAS,chagas,tratamientos en mujeres post parto,2010-12-01,0,1,0,0,0,1,1
