,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2010-01-01,0,0,1,0,1,0,1
BERMEJO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2010-01-01,0,1,0,0,0,1,1
CAMIRI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2010-01-01,1,0,0,0,1,0,1
CAPINOTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2010-01-01,0,1,0,0,0,1,1
CHAQUI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2010-01-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos 5 anos a menores de 15 anos de edad,2010-01-01,1,1,0,0,1,1,2
CKOCHAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2010-01-01,0,0,6,8,6,8,14
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2010-01-01,0,1,0,1,0,2,2
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2010-01-01,4,4,5,1,9,5,14
LA GUARDIA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2010-01-01,2,1,1,3,3,4,7
MAIRANA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2010-01-01,0,0,1,0,1,0,1
MIZQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2010-01-01,1,1,0,0,1,1,2
OCURI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2010-01-01,5,6,0,0,5,6,11
OMEREQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2010-01-01,0,0,1,0,1,0,1
PAILON,chagas,tratamientos 5 anos a menores de 15 anos de edad,2010-01-01,1,0,0,0,1,0,1
QUIRUSILLAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2010-01-01,0,0,1,2,1,2,3
