,group,variable,month,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,chagas,tratamientos de 15 anos y mas,2010-01-01,0,0,4,0,4,0,4
BERMEJO,chagas,tratamientos de 15 anos y mas,2010-01-01,0,3,0,0,0,3,3
CAMARGO,chagas,tratamientos de 15 anos y mas,2010-01-01,2,3,0,0,2,3,5
CKOCHAS,chagas,tratamientos de 15 anos y mas,2010-01-01,2,0,0,0,2,0,2
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2010-01-01,25,51,10,24,35,75,110
COMARAPA,chagas,tratamientos de 15 anos y mas,2010-01-01,1,0,0,0,1,0,1
EL TORNO,chagas,tratamientos de 15 anos y mas,2010-01-01,2,1,0,0,2,1,3
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2010-01-01,1,1,0,0,1,1,2
MIZQUE,chagas,tratamientos de 15 anos y mas,2010-01-01,0,0,0,4,0,4,4
OMEREQUE,chagas,tratamientos de 15 anos y mas,2010-01-01,0,0,13,0,13,0,13
PAMPA GRANDE,chagas,tratamientos de 15 anos y mas,2010-01-01,1,1,0,0,1,1,2
PASORAPA,chagas,tratamientos de 15 anos y mas,2010-01-01,4,2,0,0,4,2,6
PUNATA,chagas,tratamientos de 15 anos y mas,2010-01-01,7,7,0,0,7,7,14
SACABA,chagas,tratamientos de 15 anos y mas,2010-01-01,1,1,0,0,1,1,2
SOPACHUY,chagas,tratamientos de 15 anos y mas,2010-01-01,0,6,0,0,0,6,6
SUCRE,chagas,tratamientos de 15 anos y mas,2010-01-01,3,2,0,0,3,2,5
TACOBAMBA,chagas,tratamientos de 15 anos y mas,2010-01-01,5,10,0,0,5,10,15
TAPACARI,chagas,tratamientos de 15 anos y mas,2010-01-01,0,0,2,0,2,0,2
TOLATA,chagas,tratamientos de 15 anos y mas,2010-01-01,0,0,0,1,0,1,1
TUPIZA,chagas,tratamientos de 15 anos y mas,2010-01-01,41,50,34,39,75,89,164
