,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CAMARGO,chagas,tratamientos rn a menores de 1 ano de edad,2010-01-01,1,0,0,0,1,0,1
COMARAPA,chagas,tratamientos rn a menores de 1 ano de edad,2010-01-01,2,0,0,0,2,0,2
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2010-01-01,0,2,0,1,0,3,3
SACABA,chagas,tratamientos rn a menores de 1 ano de edad,2010-01-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2010-01-01,3,1,0,0,3,1,4
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2010-01-01,1,0,0,0,1,0,1
TARIJA,chagas,tratamientos rn a menores de 1 ano de edad,2010-01-01,1,0,0,0,1,0,1
WARNES,chagas,tratamientos rn a menores de 1 ano de edad,2010-01-01,0,3,0,0,0,3,3
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2010-01-01,1,2,0,0,1,2,3
ZUDAÑEZ,chagas,tratamientos rn a menores de 1 ano de edad,2010-01-01,0,0,0,2,0,2,2
CAMARGO,chagas,tratamientos rn a menores de 1 ano de edad,2010-02-01,0,0,1,0,1,0,1
CAPINOTA,chagas,tratamientos rn a menores de 1 ano de edad,2010-02-01,1,0,0,0,1,0,1
COLCAPIRHUA,chagas,tratamientos rn a menores de 1 ano de edad,2010-02-01,1,0,0,0,1,0,1
CUEVO,chagas,tratamientos rn a menores de 1 ano de edad,2010-02-01,0,1,0,0,0,1,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2010-02-01,10,6,0,0,10,6,16
MIZQUE,chagas,tratamientos rn a menores de 1 ano de edad,2010-02-01,1,0,0,0,1,0,1
PADILLA,chagas,tratamientos rn a menores de 1 ano de edad,2010-02-01,0,1,0,0,0,1,1
