,group,variable,month,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
CAMIRI,atencion odontologica,trat. de fracturas dentoalveolares,2021-01-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
COTAGAITA,atencion odontologica,trat. de fracturas dentoalveolares,2021-01-01,0,0,3,0,0,0,4,0,1,0,0,0,0,0,8
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2021-01-01,2,3,4,2,0,0,10,12,0,6,0,0,0,0,39
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2021-01-01,0,0,0,4,0,0,3,0,0,0,0,0,0,0,7
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2021-01-01,0,6,0,0,0,0,0,4,0,0,0,0,0,0,10
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2021-01-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3
BAURES,atencion odontologica,trat. de fracturas dentoalveolares,2021-02-01,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2021-02-01,0,0,5,3,1,5,1,0,0,0,0,0,0,0,15
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2021-02-01,2,0,0,0,0,0,1,7,0,2,0,0,0,0,12
