,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,primera consulta,2021-01-01,1,2,2,5,2,6,3,13,0,0,0,2,0,1,37
ACHACACHI,atencion odontologica,primera consulta,2021-01-01,20,16,54,40,36,47,71,95,17,22,0,5,0,1,424
ACHOCALLA,atencion odontologica,primera consulta,2021-01-01,62,69,94,144,32,49,102,197,33,35,0,32,0,3,852
AIQUILE,atencion odontologica,primera consulta,2021-01-01,14,16,10,24,6,10,24,36,8,10,0,5,0,1,164
ALALAY,atencion odontologica,primera consulta,2021-01-01,1,0,0,0,1,3,2,2,1,0,0,1,0,0,11
ALCALA,atencion odontologica,primera consulta,2021-01-01,1,1,4,4,5,7,9,27,3,2,0,3,0,1,67
ALTO BENI,atencion odontologica,primera consulta,2021-01-01,12,10,21,25,8,13,26,38,6,5,0,2,0,3,169
ANCORAIMES,atencion odontologica,primera consulta,2021-01-01,5,4,10,10,8,13,14,32,12,13,0,1,0,0,122
ANDAMARCA,atencion odontologica,primera consulta,2021-01-01,7,7,11,12,5,11,10,28,7,6,0,5,0,1,110
ANTEQUERA,atencion odontologica,primera consulta,2021-01-01,5,3,9,18,4,4,12,23,7,9,0,1,0,0,95
ANZALDO,atencion odontologica,primera consulta,2021-01-01,1,2,2,9,0,5,7,13,1,7,0,0,0,0,47
APOLO,atencion odontologica,primera consulta,2021-01-01,4,5,14,18,3,7,10,13,0,1,0,0,0,0,75
ARAMPAMPA,atencion odontologica,primera consulta,2021-01-01,7,4,5,5,2,1,6,19,4,2,0,3,0,2,60
