,group,variable,month,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES EMB,RESTAURACIONES EMB,RESTAURACIONES POST,RESTAURACIONES POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,restauraciones,2021-01-01,1,1,1,2,1,4,2,4,0,0,0,0,0,0,16
ACHACACHI,atencion odontologica,restauraciones,2021-01-01,12,11,25,11,47,48,48,81,5,4,0,0,0,0,292
ACHOCALLA,atencion odontologica,restauraciones,2021-01-01,24,25,38,74,15,37,10,37,1,0,0,0,0,0,261
AIQUILE,atencion odontologica,restauraciones,2021-01-01,12,21,21,61,5,8,23,78,8,22,0,0,0,0,259
ALCALA,atencion odontologica,restauraciones,2021-01-01,0,7,0,0,1,4,3,8,0,1,0,0,0,0,24
ALTO BENI,atencion odontologica,restauraciones,2021-01-01,4,2,18,26,9,15,11,14,2,1,0,0,0,0,102
ANCORAIMES,atencion odontologica,restauraciones,2021-01-01,3,4,3,3,4,8,4,21,7,3,0,0,0,0,60
ANDAMARCA,atencion odontologica,restauraciones,2021-01-01,1,6,9,21,23,22,10,24,4,3,0,0,0,0,123
ANTEQUERA,atencion odontologica,restauraciones,2021-01-01,0,1,3,10,6,3,6,10,2,1,0,0,0,0,42
ANZALDO,atencion odontologica,restauraciones,2021-01-01,0,2,2,13,0,2,6,8,0,1,0,0,0,0,34
APOLO,atencion odontologica,restauraciones,2021-01-01,2,5,12,5,0,1,3,2,0,0,0,0,0,0,30
ARAMPAMPA,atencion odontologica,restauraciones,2021-01-01,1,0,1,0,4,0,5,15,2,0,0,0,0,0,28
ARANI,atencion odontologica,restauraciones,2021-01-01,26,32,18,18,25,29,17,66,0,3,0,0,0,0,234
ARBIETO,atencion odontologica,restauraciones,2021-01-01,26,25,30,43,17,22,18,63,1,9,0,0,0,0,254
