,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,consulta nueva,2021-01-01,1,1,2,34,2,26,4,12,0,0,0,3,0,0,85
ACHACACHI,atencion odontologica,consulta nueva,2021-01-01,50,39,99,59,95,102,120,198,32,40,0,13,0,3,850
ACHOCALLA,atencion odontologica,consulta nueva,2021-01-01,89,109,126,200,41,79,107,227,37,34,0,36,0,2,1087
AIQUILE,atencion odontologica,consulta nueva,2021-01-01,24,38,20,69,7,16,34,67,15,19,0,8,0,1,318
ALALAY,atencion odontologica,consulta nueva,2021-01-01,1,0,0,0,1,6,2,2,1,0,0,3,0,0,16
ALCALA,atencion odontologica,consulta nueva,2021-01-01,1,8,4,6,6,9,8,39,2,3,0,5,0,1,92
ALTO BENI,atencion odontologica,consulta nueva,2021-01-01,20,16,31,48,13,24,31,43,7,5,0,2,0,3,243
ANCORAIMES,atencion odontologica,consulta nueva,2021-01-01,6,4,10,13,8,14,15,41,13,19,0,1,0,0,144
ANDAMARCA,atencion odontologica,consulta nueva,2021-01-01,21,19,40,49,28,26,24,67,12,8,0,11,0,3,308
ANTEQUERA,atencion odontologica,consulta nueva,2021-01-01,12,9,25,50,15,7,22,51,15,21,0,2,0,0,229
ANZALDO,atencion odontologica,consulta nueva,2021-01-01,5,4,4,27,0,14,20,38,1,12,0,0,0,0,125
APOLO,atencion odontologica,consulta nueva,2021-01-01,4,9,22,24,4,11,13,23,0,1,0,0,0,0,111
ARAMPAMPA,atencion odontologica,consulta nueva,2021-01-01,13,5,10,7,7,2,15,57,8,3,0,5,0,5,137
