,group,variable,month,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA EMB,ENDODONCIA EMB,ENDODONCIA POST,ENDODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,atencion odontologica,endodoncia,2021-01-01,2,0,9,3,18,6,17,11,4,2,0,0,0,0,72
ACHOCALLA,atencion odontologica,endodoncia,2021-01-01,1,2,2,10,0,2,1,10,0,0,0,0,0,0,28
AIQUILE,atencion odontologica,endodoncia,2021-01-01,0,0,2,0,0,0,9,15,0,1,0,0,0,0,27
ALTO BENI,atencion odontologica,endodoncia,2021-01-01,0,0,2,5,0,0,1,3,0,0,0,0,0,0,11
ANCORAIMES,atencion odontologica,endodoncia,2021-01-01,0,0,1,0,0,0,3,1,0,0,0,0,0,0,5
ANDAMARCA,atencion odontologica,endodoncia,2021-01-01,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3
ANTEQUERA,atencion odontologica,endodoncia,2021-01-01,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3
ARAMPAMPA,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
ARANI,atencion odontologica,endodoncia,2021-01-01,0,2,0,0,0,1,0,1,0,0,0,0,0,0,4
ARBIETO,atencion odontologica,endodoncia,2021-01-01,4,1,0,1,1,3,1,1,2,0,0,0,0,0,14
ARQUE,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,0,0,3,2,0,0,0,0,0,0,6
ASCENCION DE GUARAYOS,atencion odontologica,endodoncia,2021-01-01,2,0,9,2,0,6,0,14,1,0,0,0,0,0,34
ATOCHA,atencion odontologica,endodoncia,2021-01-01,5,4,6,16,20,19,27,21,1,0,0,0,0,0,119
AUCAPATA,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
