,group,variable,month,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA EMB,CONSULTA REPETIDA EMB,CONSULTA REPETIDA POST,CONSULTA REPETIDA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,consulta repetida,2021-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ACHACACHI,atencion odontologica,consulta repetida,2021-01-01,1,0,13,6,20,7,14,19,3,3,0,0,0,0,86
ACHOCALLA,atencion odontologica,consulta repetida,2021-01-01,0,0,0,4,0,3,1,5,0,0,0,0,0,0,13
AIQUILE,atencion odontologica,consulta repetida,2021-01-01,0,1,2,1,1,0,15,29,1,8,0,0,0,0,58
ALALAY,atencion odontologica,consulta repetida,2021-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ALCALA,atencion odontologica,consulta repetida,2021-01-01,0,0,0,0,1,3,1,1,0,0,0,1,0,0,7
ALTO BENI,atencion odontologica,consulta repetida,2021-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
ANDAMARCA,atencion odontologica,consulta repetida,2021-01-01,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4
ANTEQUERA,atencion odontologica,consulta repetida,2021-01-01,0,1,1,3,1,1,3,7,1,4,0,0,0,0,22
ANZALDO,atencion odontologica,consulta repetida,2021-01-01,0,0,0,1,0,2,0,1,0,0,0,0,0,0,4
ARAMPAMPA,atencion odontologica,consulta repetida,2021-01-01,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3
ARANI,atencion odontologica,consulta repetida,2021-01-01,4,4,2,1,2,12,5,7,0,0,0,0,0,0,37
ARBIETO,atencion odontologica,consulta repetida,2021-01-01,0,0,0,0,1,0,0,2,1,0,0,0,0,0,4
