,group,variable,month,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS POST,MEDIDAS PREVENTIVAS POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,medidas preventivas,2021-01-01,0,0,0,29,0,17,0,0,0,0,0,0,0,0,46
ACHACACHI,atencion odontologica,medidas preventivas,2021-01-01,16,19,13,15,9,11,6,15,0,2,0,0,0,0,106
ACHOCALLA,atencion odontologica,medidas preventivas,2021-01-01,31,48,31,33,6,6,1,27,3,6,0,0,0,0,192
AIQUILE,atencion odontologica,medidas preventivas,2021-01-01,26,36,34,94,10,20,77,149,26,42,0,0,0,0,514
ALALAY,atencion odontologica,medidas preventivas,2021-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
ALCALA,atencion odontologica,medidas preventivas,2021-01-01,1,1,0,0,0,0,0,2,0,0,0,0,0,0,4
ALTO BENI,atencion odontologica,medidas preventivas,2021-01-01,13,14,4,8,3,3,0,12,3,2,0,0,0,0,62
ANDAMARCA,atencion odontologica,medidas preventivas,2021-01-01,15,11,18,11,2,1,4,15,2,0,0,0,0,0,79
ANTEQUERA,atencion odontologica,medidas preventivas,2021-01-01,9,5,11,16,2,0,4,7,4,7,0,0,0,0,65
ANZALDO,atencion odontologica,medidas preventivas,2021-01-01,5,1,2,10,0,5,7,12,0,5,0,0,0,0,47
APOLO,atencion odontologica,medidas preventivas,2021-01-01,2,2,6,10,3,6,3,5,0,0,0,0,0,0,37
ARAMPAMPA,atencion odontologica,medidas preventivas,2021-01-01,6,2,3,3,2,0,4,13,2,1,0,0,0,0,36
