,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
CABEZAS,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3
CAMIRI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,0,0,13,6,15,3,6,2,0,0,0,0,45
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,1,7,1,1,5,6,2,0,0,0,0,0,23
EL TORNO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,6,8,1,1,5,10,2,2,0,0,0,0,35
LAGUNILLAS,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,1,0,0,2,0,5,0,0,0,0,0,0,8
