,group,variable,month,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO.1,FEMENINO.1,TOTAL
municipality,,,,,,,,,,,,,,,,,,
CHALLAPATA,atencion odontologica,trat. odontologico integral terminado,2021-01-01,0,0,0,0,0,0,2,1,1,0,0,0,0,0,4
MONTEAGUDO,atencion odontologica,trat. odontologico integral terminado,2021-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ORURO,atencion odontologica,trat. odontologico integral terminado,2021-01-01,0,0,2,2,0,0,2,9,0,0,0,0,0,0,15
SAN LUCAS,atencion odontologica,trat. odontologico integral terminado,2021-01-01,2,2,20,21,4,18,20,63,0,2,0,0,0,0,152
SUCRE,atencion odontologica,trat. odontologico integral terminado,2021-01-01,8,13,2,2,0,2,0,2,0,0,0,0,0,0,29
YACUIBA,atencion odontologica,trat. odontologico integral terminado,2021-01-01,0,1,3,3,2,1,4,5,1,0,0,0,0,0,20
EL VILLAR,atencion odontologica,trat. odontologico integral terminado,2021-02-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
MONTEAGUDO,atencion odontologica,trat. odontologico integral terminado,2021-02-01,0,0,0,0,1,1,0,2,0,0,0,0,0,0,4
