,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR POST,CIRUGIA BUCOMAXILOFACIAL MENOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ATOCHA,atencion odontologica,cirugia bucomaxilofacial menor,2021-01-01,0,0,8,6,4,3,7,3,0,0,0,0,0,0,31
BELEN DE URMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2021-01-01,0,0,3,17,0,1,8,4,0,1,0,0,0,0,34
BOYUIBE,atencion odontologica,cirugia bucomaxilofacial menor,2021-01-01,0,0,4,4,1,0,3,3,5,4,0,0,0,0,24
CABEZAS,atencion odontologica,cirugia bucomaxilofacial menor,2021-01-01,0,0,1,0,0,9,1,6,0,0,0,0,0,0,17
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2021-01-01,0,1,0,0,0,3,0,2,0,0,0,0,0,0,6
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2021-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2021-01-01,0,0,2,1,0,0,3,1,0,0,0,0,0,0,7
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2021-01-01,0,0,2,10,27,25,41,34,25,17,0,0,0,0,181
COLQUECHACA,atencion odontologica,cirugia bucomaxilofacial menor,2021-01-01,0,0,4,3,1,1,3,2,1,0,0,0,0,0,15
