,group,variable,month,RAYOS X DENTAL MENORES DE 5 AÑOS,RAYOS X DENTAL MENORES DE 5 AÑOS,RAYOS X DENTAL 5 A 13 AÑOS,RAYOS X DENTAL 5 A 13 AÑOS,RAYOS X DENTAL 14 A 19 AÑOS,RAYOS X DENTAL 14 A 19 AÑOS,RAYOS X DENTAL 20 A 59 AÑOS,RAYOS X DENTAL 20 A 59 AÑOS,RAYOS X DENTAL 60 AÑOS Y MAS,RAYOS X DENTAL 60 AÑOS Y MAS,RAYOS X DENTAL EMB,RAYOS X DENTAL EMB,RAYOS X DENTAL EMB,RAYOS X DENTAL EMB,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO.1,FEMENINO.1,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ARANI,atencion odontologica,rayos x dental,2021-01-01,0,0,0,0,0,3,2,6,0,0,0,0,0,0,11
ATOCHA,atencion odontologica,rayos x dental,2021-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,rayos x dental,2021-01-01,0,0,3,0,2,4,0,12,0,0,0,0,0,0,21
CHALLAPATA,atencion odontologica,rayos x dental,2021-01-01,1,0,0,1,0,1,1,1,0,1,0,0,0,0,6
COCHABAMBA,atencion odontologica,rayos x dental,2021-01-01,0,0,0,0,0,0,34,37,28,29,0,0,0,0,128
COIPASA,atencion odontologica,rayos x dental,2021-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
COLCAPIRHUA,atencion odontologica,rayos x dental,2021-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
COPACABANA,atencion odontologica,rayos x dental,2021-01-01,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
EL PUENTE(TJA),atencion odontologica,rayos x dental,2021-01-01,0,0,1,0,0,2,0,2,0,0,0,0,0,0,5
LA ASUNTA,atencion odontologica,rayos x dental,2021-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
