,group,variable,month,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR POST,CIRUGIA BUCAL MENOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,cirugia bucal menor,2021-01-01,0,0,1,2,0,1,0,2,0,0,0,0,0,0,6
ACHACACHI,atencion odontologica,cirugia bucal menor,2021-01-01,5,2,39,20,7,16,33,48,11,21,0,0,0,0,202
ACHOCALLA,atencion odontologica,cirugia bucal menor,2021-01-01,4,3,16,26,2,16,10,15,6,4,0,0,0,0,102
AIQUILE,atencion odontologica,cirugia bucal menor,2021-01-01,0,0,1,7,0,0,2,0,0,0,0,0,0,0,10
ALALAY,atencion odontologica,cirugia bucal menor,2021-01-01,1,0,0,0,0,2,2,1,0,0,0,0,0,0,6
ALCALA,atencion odontologica,cirugia bucal menor,2021-01-01,0,0,3,4,5,2,4,17,3,0,0,0,0,0,38
ALTO BENI,atencion odontologica,cirugia bucal menor,2021-01-01,2,0,6,6,1,2,13,9,1,2,0,0,0,0,42
ANCORAIMES,atencion odontologica,cirugia bucal menor,2021-01-01,1,0,6,9,4,5,9,17,7,16,0,0,0,0,74
ANDAMARCA,atencion odontologica,cirugia bucal menor,2021-01-01,0,0,3,4,0,0,5,8,2,0,0,0,0,0,22
ANTEQUERA,atencion odontologica,cirugia bucal menor,2021-01-01,0,0,3,7,4,1,3,9,1,3,0,0,0,0,31
ANZALDO,atencion odontologica,cirugia bucal menor,2021-01-01,0,0,0,4,0,2,6,10,0,4,0,0,0,0,26
APOLO,atencion odontologica,cirugia bucal menor,2021-01-01,0,2,3,8,1,3,7,16,0,0,0,0,0,0,40
