,group,variable,month,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA EMB,PERIODONCIA EMB,PERIODONCIA POST,PERIODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,periodoncia,2021-01-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
ACHACACHI,atencion odontologica,periodoncia,2021-01-01,0,0,1,1,8,4,6,6,2,0,0,0,0,0,28
ACHOCALLA,atencion odontologica,periodoncia,2021-01-01,0,0,1,0,2,0,0,9,1,0,0,0,0,0,13
AIQUILE,atencion odontologica,periodoncia,2021-01-01,0,0,1,0,1,1,8,11,3,8,0,0,0,0,33
ALALAY,atencion odontologica,periodoncia,2021-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ALCALA,atencion odontologica,periodoncia,2021-01-01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3
ALTO BENI,atencion odontologica,periodoncia,2021-01-01,0,0,0,3,0,1,3,5,0,0,0,0,0,0,12
ANCORAIMES,atencion odontologica,periodoncia,2021-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ANDAMARCA,atencion odontologica,periodoncia,2021-01-01,0,0,0,0,0,2,1,2,0,0,0,0,0,0,5
ANTEQUERA,atencion odontologica,periodoncia,2021-01-01,0,0,0,0,0,0,1,6,0,1,0,0,0,0,8
ANZALDO,atencion odontologica,periodoncia,2021-01-01,0,0,0,0,0,3,0,3,1,2,0,0,0,0,9
APOLO,atencion odontologica,periodoncia,2021-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ARAMPAMPA,atencion odontologica,periodoncia,2021-01-01,0,0,0,0,0,1,1,6,1,0,0,0,0,0,9
ARANI,atencion odontologica,periodoncia,2021-01-01,0,0,0,0,1,1,3,3,0,1,0,0,0,0,9
