,group,variable,month,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA FALCIPARUM,MUJER EMBARAZADA FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
GUAYARAMERIN,malaria,mujer embarazada,2016-01-01,0,23,0,0,0,23,23
IXIAMAS,malaria,mujer embarazada,2016-01-01,0,2,0,0,0,2,2
RIBERALTA,malaria,mujer embarazada,2016-01-01,0,37,0,0,0,37,37
GUAYARAMERIN,malaria,mujer embarazada,2016-02-01,0,18,0,0,0,18,18
NUEVO MANOA (NUEVA ESPERANZA),malaria,mujer embarazada,2016-02-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2016-02-01,0,2,0,0,0,2,2
SAIPINA,malaria,mujer embarazada,2016-02-01,0,17,0,0,0,17,17
CONCEPCION,malaria,mujer embarazada,2016-03-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2016-03-01,0,20,0,0,0,20,20
LAS CARRERAS,malaria,mujer embarazada,2016-03-01,0,2,0,0,0,2,2
RIBERALTA,malaria,mujer embarazada,2016-03-01,0,1,0,0,0,1,1
SAIPINA,malaria,mujer embarazada,2016-03-01,0,8,0,0,0,8,8
PRESTO,malaria,mujer embarazada,2016-04-01,0,2,0,0,0,2,2
SAIPINA,malaria,mujer embarazada,2016-04-01,0,10,0,0,0,10,10
SENA,malaria,mujer embarazada,2016-04-01,0,2,0,0,0,2,2
GUAYARAMERIN,malaria,mujer embarazada,2016-05-01,0,7,0,0,0,7,7
POROMA,malaria,mujer embarazada,2016-05-01,0,4,0,0,0,4,4
SAIPINA,malaria,mujer embarazada,2016-05-01,0,5,0,0,0,5,5
SENA,malaria,mujer embarazada,2016-05-01,0,2,0,0,0,2,2
IXIAMAS,malaria,mujer embarazada,2016-06-01,0,1,0,0,0,1,1
POROMA,malaria,mujer embarazada,2016-06-01,0,0,0,2,0,2,2
RIBERALTA,malaria,mujer embarazada,2016-06-01,0,4,0,0,0,4,4
SAIPINA,malaria,mujer embarazada,2016-06-01,0,5,0,0,0,5,5
SAN LORENZO(PND),malaria,mujer embarazada,2016-06-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),malaria,mujer embarazada,2016-06-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,mujer embarazada,2016-07-01,0,1,0,0,0,1,1
POROMA,malaria,mujer embarazada,2016-07-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2016-07-01,0,6,0,0,0,6,6
SAIPINA,malaria,mujer embarazada,2016-07-01,0,15,0,0,0,15,15
RIBERALTA,malaria,mujer embarazada,2016-08-01,0,8,0,0,0,8,8
SAIPINA,malaria,mujer embarazada,2016-08-01,0,3,0,0,0,3,3
LAS CARRERAS,malaria,mujer embarazada,2016-09-01,0,1,0,0,0,1,1
POROMA,malaria,mujer embarazada,2016-09-01,0,1,0,1,0,2,2
SAIPINA,malaria,mujer embarazada,2016-09-01,0,7,0,0,0,7,7
SUCRE,malaria,mujer embarazada,2016-09-01,0,0,0,2,0,2,2
RIBERALTA,malaria,mujer embarazada,2016-10-01,0,34,0,0,0,34,34
SAIPINA,malaria,mujer embarazada,2016-10-01,0,10,0,0,0,10,10
GUAYARAMERIN,malaria,mujer embarazada,2016-11-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,mujer embarazada,2016-11-01,0,1,0,0,0,1,1
POROMA,malaria,mujer embarazada,2016-11-01,0,0,0,1,0,1,1
RIBERALTA,malaria,mujer embarazada,2016-11-01,0,1,0,0,0,1,1
SAIPINA,malaria,mujer embarazada,2016-11-01,0,8,0,0,0,8,8
GUAYARAMERIN,malaria,mujer embarazada,2016-12-01,0,2,0,0,0,2,2
POROMA,malaria,mujer embarazada,2016-12-01,0,0,0,1,0,1,1
SAIPINA,malaria,mujer embarazada,2016-12-01,0,15,0,0,0,15,15
TARIJA,malaria,mujer embarazada,2016-12-01,0,0,0,1,0,1,1
