,group,variable,month,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS FALCIPARUM,DE 5 AÑOS Y MÁS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,malaria,de 5 anos y mas,2016-01-01,0,2,0,0,0,2,2
BELLA FLOR,malaria,de 5 anos y mas,2016-01-01,9,6,0,0,9,6,15
BUENA VISTA,malaria,de 5 anos y mas,2016-01-01,0,1,0,0,0,1,1
COBIJA,malaria,de 5 anos y mas,2016-01-01,5,1,0,0,5,1,6
CONCEPCION,malaria,de 5 anos y mas,2016-01-01,21,21,0,0,21,21,42
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2016-01-01,2,7,0,0,2,7,9
GUAYARAMERIN,malaria,de 5 anos y mas,2016-01-01,34,36,0,1,34,37,71
IXIAMAS,malaria,de 5 anos y mas,2016-01-01,34,18,0,0,34,18,52
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2016-01-01,21,7,0,0,21,7,28
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2016-01-01,10,6,0,0,10,6,16
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2016-01-01,3,1,0,0,3,1,4
REYES,malaria,de 5 anos y mas,2016-01-01,4,0,0,0,4,0,4
RIBERALTA,malaria,de 5 anos y mas,2016-01-01,37,26,0,0,37,26,63
SAN BORJA,malaria,de 5 anos y mas,2016-01-01,2,0,0,0,2,0,2
SAN LORENZO(PND),malaria,de 5 anos y mas,2016-01-01,0,1,0,0,0,1,1
SAN MATIAS,malaria,de 5 anos y mas,2016-01-01,15,13,0,0,15,13,28
SANTA ROSA,malaria,de 5 anos y mas,2016-01-01,1,1,0,0,1,1,2
SENA,malaria,de 5 anos y mas,2016-01-01,35,22,0,0,35,22,57
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2016-01-01,2,0,0,0,2,0,2
AIQUILE,malaria,de 5 anos y mas,2016-02-01,2,0,0,0,2,0,2
AZURDUY,malaria,de 5 anos y mas,2016-02-01,1,0,0,0,1,0,1
BELLA FLOR,malaria,de 5 anos y mas,2016-02-01,10,3,0,0,10,3,13
