,group,variable,month,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE VIVAX,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE VIVAX,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE FALCIPARUM,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COBIJA,malaria,tratamientos especificos para malaria grave,2016-01-01,4.0,0.0,0.0,0.0,4.0,0.0,4.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2016-01-01,10.0,4.0,0.0,0.0,10.0,4.0,14.0
PALOS BLANCOS,malaria,tratamientos especificos para malaria grave,2016-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2016-02-01,4.0,9.0,0.0,0.0,4.0,9.0,13.0
COBIJA,malaria,tratamientos especificos para malaria grave,2016-03-01,7.0,1.0,0.0,0.0,7.0,1.0,8.0
GUAYARAMERIN,malaria,tratamientos especificos para malaria grave,2016-03-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
PALOS BLANCOS,malaria,tratamientos especificos para malaria grave,2016-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2016-03-01,17.0,9.0,1.0,0.0,18.0,9.0,27.0
FILADELFIA,malaria,tratamientos especificos para malaria grave,2016-04-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
GUAYARAMERIN,malaria,tratamientos especificos para malaria grave,2016-04-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
PALOS BLANCOS,malaria,tratamientos especificos para malaria grave,2016-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PRESTO,malaria,tratamientos especificos para malaria grave,2016-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2016-04-01,5.0,6.0,0.0,0.0,5.0,6.0,11.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2016-05-01,11.0,8.0,0.0,0.0,11.0,8.0,19.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2016-06-01,8.0,4.0,0.0,0.0,8.0,4.0,12.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2016-07-01,7.0,2.0,0.0,0.0,7.0,2.0,9.0
PALOS BLANCOS,malaria,tratamientos especificos para malaria grave,2016-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2016-10-01,5.0,0.0,0.0,0.0,5.0,0.0,5.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2016-11-01,4.0,0.0,0.0,0.0,4.0,0.0,4.0
ENTRE RIOS TRJ,malaria,tratamientos especificos para malaria grave,2016-12-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2016-12-01,7.0,2.0,0.0,0.0,7.0,2.0,9.0
