,group,variable,month,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2016-01-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2016-01-01,7,3,0,0,7,3,10
IXIAMAS,malaria,de 1 a menores de 5 anos,2016-01-01,1,1,0,0,1,1,2
MAGDALENA,malaria,de 1 a menores de 5 anos,2016-01-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2016-01-01,2,0,0,0,2,0,2
RIBERALTA,malaria,de 1 a menores de 5 anos,2016-01-01,4,1,0,0,4,1,5
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2016-01-01,18,24,0,0,18,24,42
SENA,malaria,de 1 a menores de 5 anos,2016-01-01,6,2,0,0,6,2,8
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2016-02-01,7,8,0,0,7,8,15
IXIAMAS,malaria,de 1 a menores de 5 anos,2016-02-01,1,1,0,0,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2016-02-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2016-02-01,1,0,0,0,1,0,1
PORVENIR,malaria,de 1 a menores de 5 anos,2016-02-01,2,0,0,0,2,0,2
RIBERALTA,malaria,de 1 a menores de 5 anos,2016-02-01,8,13,0,0,8,13,21
SAIPINA,malaria,de 1 a menores de 5 anos,2016-02-01,2,1,0,0,2,1,3
SAN LUCAS,malaria,de 1 a menores de 5 anos,2016-02-01,0,1,0,0,0,1,1
SENA,malaria,de 1 a menores de 5 anos,2016-02-01,10,5,0,0,10,5,15
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2016-03-01,2,2,0,0,2,2,4
IXIAMAS,malaria,de 1 a menores de 5 anos,2016-03-01,0,1,0,0,0,1,1
MAGDALENA,malaria,de 1 a menores de 5 anos,2016-03-01,0,1,0,0,0,1,1
