,group,variable,month,MENORES DE 1 AÑO VIVAX,MENORES DE 1 AÑO VIVAX,MENORES DE 1 AÑO FALCIPARUM,MENORES DE 1 AÑO FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CARAPARI,malaria,menores de 1 ano,2016-01-01,1.0,5.0,0.0,0.0,1.0,5.0,6.0
PUERTO VILLARROEL,malaria,menores de 1 ano,2016-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RIBERALTA,malaria,menores de 1 ano,2016-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SENA,malaria,menores de 1 ano,2016-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
BETANZOS,malaria,menores de 1 ano,2016-02-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
CARAPARI,malaria,menores de 1 ano,2016-02-01,1.0,5.0,0.0,0.0,1.0,5.0,6.0
GUAYARAMERIN,malaria,menores de 1 ano,2016-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
MAGDALENA,malaria,menores de 1 ano,2016-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
NACEBE (SANTA ROSA DEL ABUNA),malaria,menores de 1 ano,2016-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PUERTO GONZALO MORENO,malaria,menores de 1 ano,2016-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,menores de 1 ano,2016-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SENA,malaria,menores de 1 ano,2016-02-01,3.0,1.0,0.0,0.0,3.0,1.0,4.0
CARAPARI,malaria,menores de 1 ano,2016-03-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
PORVENIR,malaria,menores de 1 ano,2016-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
GUANAY,malaria,menores de 1 ano,2016-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PORVENIR,malaria,menores de 1 ano,2016-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
NACEBE (SANTA ROSA DEL ABUNA),malaria,menores de 1 ano,2016-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,menores de 1 ano,2016-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SENA,malaria,menores de 1 ano,2016-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RIBERALTA,malaria,menores de 1 ano,2016-06-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
SENA,malaria,menores de 1 ano,2016-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
EUREKA (SANTOS MERCADO),malaria,menores de 1 ano,2016-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
MONTEAGUDO,malaria,menores de 1 ano,2016-07-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,menores de 1 ano,2016-07-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
MONTEAGUDO,malaria,menores de 1 ano,2016-08-01,4.0,1.0,0.0,0.0,4.0,1.0,5.0
SAN LORENZO(PND),malaria,menores de 1 ano,2016-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
VILLA VACA GUZMAN (MUYUPAMPA),malaria,menores de 1 ano,2016-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
YOTALA,malaria,menores de 1 ano,2016-10-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SUCRE,malaria,menores de 1 ano,2016-11-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN JULIAN,malaria,menores de 1 ano,2016-12-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN LORENZO(PND),malaria,menores de 1 ano,2016-12-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
