,group,variable,month,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS NUEVO,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS NUEVO,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa, personas de 60 anos y mas,2014-01-01,21,42,1,3,22,45,67
ACHACACHI,consulta externa, personas de 60 anos y mas,2014-01-01,376,333,174,162,550,495,1045
ACHOCALLA,consulta externa, personas de 60 anos y mas,2014-01-01,41,45,9,2,50,47,97
AIQUILE,consulta externa, personas de 60 anos y mas,2014-01-01,104,128,53,70,157,198,355
ALALAY,consulta externa, personas de 60 anos y mas,2014-01-01,4,13,0,0,4,13,17
ALCALA,consulta externa, personas de 60 anos y mas,2014-01-01,29,61,1,1,30,62,92
ALTO BENI,consulta externa, personas de 60 anos y mas,2014-01-01,89,60,3,0,92,60,152
ANCORAIMES,consulta externa, personas de 60 anos y mas,2014-01-01,104,135,29,59,133,194,327
ANDAMARCA,consulta externa, personas de 60 anos y mas,2014-01-01,50,72,8,6,58,78,136
ANTEQUERA,consulta externa, personas de 60 anos y mas,2014-01-01,51,63,0,0,51,63,114
ANZALDO,consulta externa, personas de 60 anos y mas,2014-01-01,68,104,10,29,78,133,211
APOLO,consulta externa, personas de 60 anos y mas,2014-01-01,81,97,12,21,93,118,211
ARAMPAMPA,consulta externa, personas de 60 anos y mas,2014-01-01,4,13,0,0,4,13,17
ARANI,consulta externa, personas de 60 anos y mas,2014-01-01,39,65,4,0,43,65,108
ARBIETO,consulta externa, personas de 60 anos y mas,2014-01-01,31,36,47,43,78,79,157
ARQUE,consulta externa, personas de 60 anos y mas,2014-01-01,34,66,0,3,34,69,103
ASCENCION DE GUARAYOS,consulta externa, personas de 60 anos y mas,2014-01-01,158,125,4,2,162,127,289
ATOCHA,consulta externa, personas de 60 anos y mas,2014-01-01,106,109,21,12,127,121,248
AUCAPATA,consulta externa, personas de 60 anos y mas,2014-01-01,65,58,2,10,67,68,135
AYATA,consulta externa, personas de 60 anos y mas,2014-01-01,50,53,16,10,66,63,129
