,group,variable,month,TOTAL 1.1 MENORES DE 5 AÑOS NUEVO,TOTAL 1.1 MENORES DE 5 AÑOS NUEVO,TOTAL 1.1 MENORES DE 5 AÑOS REPETIDO,TOTAL 1.1 MENORES DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa, menores de 5 anos,2014-01-01,98,89,1,0,99,89,188
ACHACACHI,consulta externa, menores de 5 anos,2014-01-01,189,186,302,273,491,459,950
ACHOCALLA,consulta externa, menores de 5 anos,2014-01-01,144,126,31,34,175,160,335
AIQUILE,consulta externa, menores de 5 anos,2014-01-01,295,245,30,30,325,275,600
ALALAY,consulta externa, menores de 5 anos,2014-01-01,53,44,0,5,53,49,102
ALCALA,consulta externa, menores de 5 anos,2014-01-01,84,85,3,0,87,85,172
ALTO BENI,consulta externa, menores de 5 anos,2014-01-01,334,325,2,6,336,331,667
ANCORAIMES,consulta externa, menores de 5 anos,2014-01-01,131,93,7,2,138,95,233
ANDAMARCA,consulta externa, menores de 5 anos,2014-01-01,56,60,4,1,60,61,121
ANTEQUERA,consulta externa, menores de 5 anos,2014-01-01,36,27,1,0,37,27,64
ANZALDO,consulta externa, menores de 5 anos,2014-01-01,47,68,103,78,150,146,296
APOLO,consulta externa, menores de 5 anos,2014-01-01,355,301,140,137,495,438,933
ARAMPAMPA,consulta externa, menores de 5 anos,2014-01-01,54,54,0,0,54,54,108
ARANI,consulta externa, menores de 5 anos,2014-01-01,244,210,21,23,265,233,498
ARBIETO,consulta externa, menores de 5 anos,2014-01-01,208,203,36,43,244,246,490
ARQUE,consulta externa, menores de 5 anos,2014-01-01,401,309,7,7,408,316,724
ASCENCION DE GUARAYOS,consulta externa, menores de 5 anos,2014-01-01,360,390,9,2,369,392,761
ATOCHA,consulta externa, menores de 5 anos,2014-01-01,285,290,29,34,314,324,638
AUCAPATA,consulta externa, menores de 5 anos,2014-01-01,55,55,0,0,55,55,110
AYATA,consulta externa, menores de 5 anos,2014-01-01,83,82,14,5,97,87,184
AYO AYO,consulta externa, menores de 5 anos,2014-01-01,77,82,1,0,78,82,160
AYOPAYA (V. DE INDEPENDENCIA),consulta externa, menores de 5 anos,2014-01-01,376,372,12,18,388,390,778
