,group,variable,month,TOTAL 1.4 PERSONAS DE 21 A 59 AÑOS NUEVO,TOTAL 1.4 PERSONAS DE 21 A 59 AÑOS NUEVO,TOTAL 1.4 PERSONAS DE 21 A 59 AÑOS REPETIDO,TOTAL 1.4 PERSONAS DE 21 A 59 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa, personas de 21 a 59 anos,2014-01-01,48,121,2,4,50,125,175
ACHACACHI,consulta externa, personas de 21 a 59 anos,2014-01-01,185,419,30,76,215,495,710
ACHOCALLA,consulta externa, personas de 21 a 59 anos,2014-01-01,24,114,0,4,24,118,142
AIQUILE,consulta externa, personas de 21 a 59 anos,2014-01-01,184,345,68,102,252,447,699
ALALAY,consulta externa, personas de 21 a 59 anos,2014-01-01,8,31,0,0,8,31,39
ALCALA,consulta externa, personas de 21 a 59 anos,2014-01-01,55,126,0,0,55,126,181
ALTO BENI,consulta externa, personas de 21 a 59 anos,2014-01-01,104,187,2,3,106,190,296
ANCORAIMES,consulta externa, personas de 21 a 59 anos,2014-01-01,74,123,3,8,77,131,208
ANDAMARCA,consulta externa, personas de 21 a 59 anos,2014-01-01,85,134,6,12,91,146,237
ANTEQUERA,consulta externa, personas de 21 a 59 anos,2014-01-01,24,42,1,3,25,45,70
ANZALDO,consulta externa, personas de 21 a 59 anos,2014-01-01,107,201,12,37,119,238,357
APOLO,consulta externa, personas de 21 a 59 anos,2014-01-01,108,253,3,5,111,258,369
ARAMPAMPA,consulta externa, personas de 21 a 59 anos,2014-01-01,21,40,0,0,21,40,61
ARANI,consulta externa, personas de 21 a 59 anos,2014-01-01,24,94,1,1,25,95,120
ARBIETO,consulta externa, personas de 21 a 59 anos,2014-01-01,43,132,5,41,48,173,221
ARQUE,consulta externa, personas de 21 a 59 anos,2014-01-01,63,144,0,1,63,145,208
ASCENCION DE GUARAYOS,consulta externa, personas de 21 a 59 anos,2014-01-01,112,243,1,10,113,253,366
ATOCHA,consulta externa, personas de 21 a 59 anos,2014-01-01,829,752,174,145,1003,897,1900
AUCAPATA,consulta externa, personas de 21 a 59 anos,2014-01-01,74,119,2,4,76,123,199
AYATA,consulta externa, personas de 21 a 59 anos,2014-01-01,67,138,5,8,72,146,218
